topic_id,keywords,num_keywords,all_keywords,label,scene_summary,primary_categories,secondary_categories,label_is_noise,label_rationale,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale,_empty_kw_ratio
10,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",27,"['door', 'doors', 'opens', 'opened', 'knock', 'hallway', 'stairs', 'elevators', 'floor', 'doorbell', 'shut', 'lock', 'closed', 'button', 'lobby', 'doorway', 'corridor', 'walk', 'doorman', 'closes', 'hall', 'office', 'foyer', 'building', 'step', 'walked', 'opening']",Knocking On Door,Someone hesitates before knocking on a door in a hallway.,"domestic_life, social_setting","setting:hallway, activity:knocking",False,"The top keywords 'door', 'doors', 'knock', 'hallway' indicate a scene centered around knocking on a door. The snippets confirm this, with phrases like 'can you open the door?' and 'is he coming out the front door?' supporting the label and scene summary.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic revolves around domestic spaces and routines, specifically doors, which are not central to the heroine–hero relationship. It does not primarily realise any of Radway's 13 functions.",0.0
11,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",27,"['wine', 'kitchen', 'plate', 'sip', 'waitress', 'bottle', 'cup', 'mug', 'dinner', 'food', 'eat', 'table', 'tea', 'salad', 'sipped', 'breakfast', 'counter', 'cream', 'lunch', 'bowl', 'fork', 'ice', 'poured', 'took', 'tray', 'sandwich', 'drinks']",Wine Tasting At Dinner,"The couple sits at a dinner table, sipping wine and waiting for their food.","social_setting, romance_core","setting:restaurant, activity:dinner, activity:wine_tasting",False,"The top keywords 'wine', 'dinner', 'food', and 'waitress' indicate a social setting involving a meal. The verb 'sip' suggests wine tasting, which is supported by the snippets mentioning wine glasses and bottles.",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on actions in a public space, specifically involving wine, which is not directly related to the heroine–hero relationship or its narrative arc. It does not primarily realise any of Radway's 13 functions.",0.0
12,"kisses, kissed, tongue, mouth, cheek, neck, leans, lip, licks, soft",27,"['kisses', 'kissed', 'tongue', 'mouth', 'cheek', 'neck', 'leans', 'lip', 'licks', 'soft', 'softly', 'lick', 'lower', 'tenderly', 'pulls', 'tender', 'slow', 'forehead', 'teeth', 'gently', 'sucking', 'takes', 'temple', 'thumb', 'kisser', 'pressed', 'cups']",Tender Forehead Kisses,"He tenderly kisses her forehead, leaning in with soft lips.","romance_core, physical_affection","setting:bedroom, activity:kissing",False,"The top keywords 'kisses', 'tender', 'forehead', and 'soft' indicate a gentle, affectionate kissing scene. The snippets confirm this, showing a man kissing a woman's forehead.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around kissing, a tender and affectionate act that often signals a shift in the hero's behavior towards the heroine. This typically occurs in Phase II of Radway's functions, where the hero treats the heroine tenderly, indicating a turning point in their relationship.",0.0
13,"smiled, smile, smiles, laugh, laughs, laughed, grinned, grin, eyebrows, giggles",27,"['smiled', 'smile', 'smiles', 'laugh', 'laughs', 'laughed', 'grinned', 'grin', 'eyebrows', 'giggles', 'giggled', 'grins', 'laughter', 'gave', 'small', 'giggle', 'eyebrow', 'bright', 'smirk', 'smirks', 'amused', 'cheeks', 'gives', 'turned', 'looks', 'brightly', 'sweetly']",Playful Laughter And Smiles,The couple shares playful laughter and smiles while looking at each other.,"romance_core, physical_affection","setting:living_room, activity:laughing",False,"The top keywords 'smile', 'laugh', 'laughs', and 'laughter' indicate a joyful, playful mood. The snippets show a mutual exchange of smiles and laughter between two people, suggesting a romantic, affectionate scene.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,R9,II,Turning Point & Recognition,False,high,"The topic's keywords and representative snippets focus on smiling, a non-verbal expression of affection and joy, which is a tender gesture from the hero and a warm response from the heroine. This aligns with Radway's functions R8 (Hero treats heroine tenderly) and R9 (Heroine responds warmly to hero's tenderness).",0.0
14,"smile, smiles, grin, smiled, laugh, grinned, grins, laughed, laughs, smirked",27,"['smile', 'smiles', 'grin', 'smiled', 'laugh', 'grinned', 'grins', 'laughed', 'laughs', 'smirked', 'chuckled', 'laughter', 'amused', 'gleam', 'curved', 'corners', 'flashed', 'widens', 'proudly', 'crooked', 'smirk', 'genuine', 'broadly', 'mouth', 'gives', 'slow', 'dimple']",Playful Smiling Interactions,The couple exchanges playful smiles and laughter while interacting.,"romance_core, physical_affection","setting:various, activity:smiling, activity:laughing",False,"The top keywords 'smile', 'smiles', 'laughter', and 'gleam' are all related to positive, playful expressions. The snippets show characters smiling at each other in various situations, indicating a romantic, affectionate scene.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,high,"The topic's representative snippets all depict the heroine smiling at the hero, indicating a warm response to him. This aligns with Radway's function R9, which describes the heroine responding warmly to the hero's tenderness.",0.0
15,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, pulls",27,"['clit', 'hips', 'pussy', 'legs', 'thighs', 'erection', 'waist', 'thigh', 'panties', 'pulls', 'hand', 'slides', 'arm', 'thumb', 'arms', 'wrap', 'tongue', 'leg', 'grabs', 'hip', 'inside', 'sliding', 'knees', 'shoulders', 'body', 'grip', 'pushes']",Clitoral Stimulation During Foreplay,He rubs her clit with his hand while they make out in the elevator.,"sexual_content, romance_core","setting:elevator, activity:making_out, sexual:clitoral_stimulation",False,"Top keywords include 'clit', 'hand', and 'elevator'. Snippets describe a man stimulating a woman's clitoris with his hand in an elevator, indicating a sexual scene with clear physical affection.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets explicitly describe sexual acts, including clitoral stimulation, which is a clear indicator of R12. The main taxonomy ID of 2.3 further supports this, as it falls under 'Explicit Sexual Acts'.",0.0
16,"fathera, parents, died, dada, older, fathers, children, kids, grandson, hea",27,"['fathera', 'parents', 'died', 'dada', 'older', 'fathers', 'children', 'kids', 'grandson', 'hea', 'years', 'uncles', 'youngest', 'brothera', 'dads', 'nephew', 'age', 'didna', 'familya', 'grandpaa', 'passed', 'youa', 'tell', 'having', 'kind', 'wasna', 'want']",Intergenerational Family Bonding,"The youngest grandson sits with his older uncles, reminiscing about their fathers' shared history.","domestic_life, relationship_conflict","setting:home, activity:reminiscing",False,"The keywords 'parents', 'fathers', 'children', and 'years' indicate a focus on family history. The snippets show characters discussing and remembering their fathers, suggesting a scene of intergenerational bonding and shared memories.",5.1,Family & Kinship,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on the hero's family and past, not the heroine–hero relationship, so it does not primarily realise any of Radway's 13 functions.",0.0
17,", , , , , , , , , ",27,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",17____,,,,,,,,,,,,,False,,,,NA,,False,,,1.0
18,", , , , , , , , , ",27,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",18____,,,,,,,,,,,,,False,,,,NA,,False,,,1.0
19,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, beating",27,"['stomach', 'chest', 'blood', 'veins', 'temples', 'spine', 'belly', 'adrenaline', 'heartbeat', 'beating', 'tingle', 'races', 'begins', 'shiver', 'beat', 'pounds', 'beats', 'racing', 'flutters', 'thuds', 'rate', 'thud', 'stabs', 'endings', 'pounding', 'knots', 'twists']",Adrenaline-fueled game,She feels her heart race and stomach flutter as he traces her veins with his fingers during intense foreplay.,"sexual_content, romance_core","setting:bedroom, activity:foreplay, sexual:touching",False,"The keywords 'stomach', 'chest', 'blood', 'veins', 'adrenaline', and 'tingle' suggest a heightened emotional and physical state. The snippets confirm this, mentioning heart racing and stomach fluttering, indicating intense arousal and foreplay.",2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main category of 'Explicit Sexual Acts' directly corresponds to Radway's function R12, which involves explicit sexual and emotional union between the hero and heroine. The representative snippets, such as 'my stomach feels like it's carrying a cannonball' and 'my heart hammers in my chest', suggest a strong emotional response accompanying the sexual act, further supporting R12.",0.0
20,"gaze, stare, staring, looks, stares, look, stared, glares, glances, looked",27,"['gaze', 'stare', 'staring', 'looks', 'stares', 'look', 'stared', 'glares', 'glances', 'looked', 'eye', 'glance', 'watches', 'meet', 'looking', 'features', 'search', 'peer', 'glare', 'glanced', 'watching', 'expression', 'hold', 'narrowed', 'darken', 'gazed', 'turned']",Eye Contact And Staring,"The couple's gazes meet and hold, their expressions intense.","romance_core, physical_affection","setting:face_to_face, activity:staring",False,"The top keywords 'gaze', 'stare', 'eye' indicate a focus on looking at each other. The snippets show this happening in a romantic context, with 'meet his gaze' and 'gaze on my face'.",2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,,I,Initial Conflict & Isolation,False,medium,"The topic keywords and representative snippets ('meet his gaze', 'he met my gaze', 'gaze on my face') suggest a focus on eye contact and mutual attention, which is a common indicator of early attraction and sexual tension between the hero and heroine. This aligns with Radway's function R4, where the heroine interprets the hero's behavior as purely sexual interest.",0.0
21,"car, driver, limo, parked, parking, cars, driveway, suv, curb, cab",27,"['car', 'driver', 'limo', 'parked', 'parking', 'cars', 'driveway', 'suv', 'curb', 'cab', 'drive', 'drivera', 'pulls', 'vehicle', 'garage', 'taxi', 'traffic', 'mercedes', 'porsche', 'seat', 'driving', 'door', 'passenger', 'engine', 'pulled', 'jeep', 'drove']",Parked Car Makeout,"The couple, parked in his car, engages in passionate kissing.","romance_core, physical_affection","setting:car, activity:kissing",False,"The top keyword 'car' and snippets like 'the back of my car?' and 'in his car' indicate a scene in a vehicle. The verb 'kissing' from the POS cues and its repetition in snippets suggest a romantic, physical activity.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic revolves around affectionate moments in a car, suggesting tenderness and care, which aligns with R8. However, the lack of explicit context or keywords makes the fit less certain.",0.0
22,"didna, couldna, wasna, hadna, wouldna, control, fucked, want, expecting, anymore",27,"['didna', 'couldna', 'wasna', 'hadna', 'wouldna', 'control', 'fucked', 'want', 'expecting', 'anymore', 'think', 'expected', 'cared', 'honestly', 'did', 'thought', 'really', 'wanted', 'wasn', 'shouldna', 'noticed', 'thing', 'mind', 'prepared', 'complaining', 'believe', 'matter']",Resisting Temptation,"She struggles with her desire, trying to make the right choice.","romance_core, relationship_conflict","setting:mind, activity:thought",False,"The keywords 'control', 'thought', 'choice', and 'problem' indicate internal conflict. The snippets show her resisting, suggesting a struggle with temptation or making a difficult decision.",3.3,Ambivalence & Internal Conflict,"Emotions, Cognition & Inner Life",,,,high,False,R5,Heroine responds with anger or coldness,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's internal conflict and resistance, which is often expressed through coldness or emotional withdrawal (R5). The topic keywords and snippets ('didnat care', 'didnat like it') suggest a guarded, defensive response, fitting Phase I of the romance arc.",0.0
23,"reesea, merinaa, gwynetha, taga, board, hadna, gave, told, cadea, wasna",27,"['reesea', 'merinaa', 'gwynetha', 'taga', 'board', 'hadna', 'gave', 'told', 'cadea', 'wasna', 'mug', 'turned', 'stood', 'arm', 'chair', 'chuckled', 'grunted', 'came', 'expected', 'moved', 'hand', 'asked', 'lodge', 'audreya', 'sat', 'table', 'gestured']",Board Game Around Table,"The couple sits around a table, playing a board game, their hands occasionally touching.","domestic_life, physical_affection","setting:table, activity:board_game",False,"The top keywords 'board', 'table', 'hand', and 'arm' indicate a shared activity around a table. The snippets show a couple interacting, supporting the 'physical_affection' category.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic's main category 'Bonding, Everyday Intimacy & Growth' and the representative snippets showing casual, familiar interaction ('here we are again', 'tag', 'her') suggest a tender, intimate moment between the characters, fitting Radway's function R8 (Hero treats heroine tenderly).",0.0
24,"rings, buzzes, pocket, rang, screen, cellphone, nightstand, ringing, message, purse",27,"['rings', 'buzzes', 'pocket', 'rang', 'screen', 'cellphone', 'nightstand', 'ringing', 'message', 'purse', 'buzzed', 'phones', 'vibrates', 'messages', 'dialed', 'grab', 'pinged', 'dings', 'app', 'blackberry', 'pull', 'pick', 'bag', 'beeps', 'check', 'desk', 'checked']",Phone Notifications During Night,"She's about to fall asleep when her phone buzzes on the nightstand, lighting up the screen with an incoming message.","domestic_life, relationship_conflict","setting:bedroom, activity:texting",False,"The top keywords 'phone', 'buzzes', 'nightstand', and 'message' indicate that the topic revolves around phone notifications during nighttime. The snippets confirm this, showing characters reacting to their phones buzzing or vibrating at night.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic is about a phone buzzing, which is a background context and not directly related to the heroine–hero relationship. It does not correspond to any of Radway's 13 functions.",0.0
25,"smile, laugh, laughter, grin, smiled, grinned, burst, laughed, chuckled, force",27,"['smile', 'laugh', 'laughter', 'grin', 'smiled', 'grinned', 'burst', 'laughed', 'chuckled', 'force', 'bite', 'forced', 'lip', 'chuckle', 'loud', 'stop', 'goofy', 'cheeks', 'help', 'hide', 'biting', 'wipe', 'crosses', 'suppress', 'stifle', 'smiles', 'tried']",Playful Laughter And Smiles,The couple shares playful laughter and smiles while interacting.,"romance_core, physical_affection","setting:living_room, activity:laughing",False,"The top keywords 'smile', 'laugh', 'laughter', and 'grin' indicate playful interactions. The snippets show characters smiling and laughing together, supporting a romantic, playful scene.",2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"The topic's keywords and snippets suggest a warm response from the heroine, which is characteristic of Phase II in Radway's functions. However, the lack of explicit context makes the confidence level low.",0.0
26,"tonight, night, evening, nights, stand, saturday, happened, tonighta, nighttime, nighta",27,"['tonight', 'night', 'evening', 'nights', 'stand', 'saturday', 'happened', 'tonighta', 'nighttime', 'nighta', 'going', 'fun', 'enjoy', 'spend', 'spent', 'special', 'just', 'different', 'ita', 'best', 'middle', 'rest', 'tomorrow', 'previous', 'zone', 'wona', 'uncomplicated']",Nighttime Fun Planning,The couple discusses and plans their evening activities during the night.,"romance_core, social_setting","setting:nighttime, activity:planning",False,"The keywords 'tonight', 'night', 'nights', and 'nighttime' indicate a focus on the night, while 'fun' and 'different' suggest planning for enjoyable activities. The snippets show a conversation about what to do that night, supporting the label and categories.",4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.4,"Time, Seasons & Temporal Framing","Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's keywords and snippets suggest a tender, intimate moment between the couple, hinting at a turning point in their relationship (R8). However, the lack of explicit context makes this interpretation tentative.",0.0
27,"door, doors, opened, car, stairs, shut, stepped, purse, headed, walked",27,"['door', 'doors', 'opened', 'car', 'stairs', 'shut', 'stepped', 'purse', 'headed', 'walked', 'unlocked', 'hall', 'opens', 'closed', 'button', 'knocked', 'elevators', 'lock', 'knob', 'climbed', 'hallway', 'doorway', 'pulled', 'passenger', 'inside', 'slammed', 'entrance']",Exiting Through Doorways,"She opened the door and stepped out into the hallway, leaving him behind in the car.","domestic_life, social_setting","setting:doorway, activity:exiting",False,"The top keywords 'door', 'doors', 'car', and 'stairs' indicate a scene of exiting through doorways. The snippets confirm this, showing characters opening doors and leaving through them.",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on mundane actions and objects, not the heroine–hero relationship. It lacks keywords, labels, or summaries related to romance or conflict, and its taxonomy group is 'Domestic Spaces & Routines', which is not central to the heroine–hero arc.",0.0
