topic_id,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_phase,radway_phase_name,radway_is_none,radway_confidence,label,scene_summary,primary_categories,secondary_categories,label_is_noise,keywords,name,secondary_cats,composite_key,composite_name,composite_note
21,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,low,Parked Car Makeout,"The couple, parked in his car, engages in passionate kissing.","romance_core, physical_affection","setting:car, activity:kissing",False,"car, driver, limo, parked, parking, cars, driveway, suv, curb, cab",Parked Car Makeout,"setting:car, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
25,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R9,Heroine responds warmly to hero's tenderness,II,Turning Point & Recognition,False,low,Playful Laughter And Smiles,The couple shares playful laughter and smiles while interacting.,"romance_core, physical_affection","setting:living_room, activity:laughing",False,"smile, laugh, laughter, grin, smiled, grinned, burst, laughed, chuckled, force",Playful Laughter And Smiles,"setting:living_room, activity:laughing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
36,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Kneeling For Intimacy,"She kneels in front of him, her hands on his knees, looking up at him.","physical_affection, romance_core","setting:bedroom, activity:kneeling",False,"knees, feet, fists, arms, foot, fold, shuffle, fist, shoe, sides",Kneeling For Intimacy,"setting:bedroom, activity:kneeling",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
38,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Eye Contact And Staring,"She stares up at him, holding his gaze, as he looks down at her.","romance_core, physical_affection","setting:bedroom, activity:staring",False,"looks, gaze, stares, glare, stare, look, glances, looked, glanced, staring",Eye Contact And Staring,"setting:bedroom, activity:staring",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
39,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Lip Biting During Intimacy,She bites her lower lip as he leans in for a kiss.,"physical_affection, romance_core","setting:bedroom, activity:kissing",False,"lip, bite, teeth, nose, tongue, mouth, bridge, grit, lick, chew",Lip Biting During Intimacy,"setting:bedroom, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
46,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Attraction At First Glance,"She notices him across the room, their eyes meeting briefly before she looks away, feeling a spark of attraction.","romance_core, physical_affection","setting:room, activity:eye_contact",False,"didn, hardya, wasn, murmured, looked, pickup, wondered, couldn, heard, gave",Attraction At First Glance,"setting:room, activity:eye_contact",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
47,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,low,Hair And Neck game,He gently runs his fingers through her hair and kisses her neck.,"physical_affection, sexual_content","setting:bedroom, activity:kissing",False,"hair, makeup, mascara, lipstick, drag, nape, hairs, rises, bun, strand",Hair And Neck game,"setting:bedroom, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
58,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,high,Compliments And Flirting,She receives compliments about her appearance from him.,"romance_core, physical_affection","setting:public, activity:flirting",False,"look, youa, stunning, seen, attractive, sweeter, breathtakingly, absolutely, utterly, looks",Compliments And Flirting,"setting:public, activity:flirting",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
67,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Married Couple's Affectionate Stares,The married couple exchanges affectionate stares and smiles across the wedding aisle.,"romance_core, physical_affection","setting:wedding_aisle, activity:staring_and_smiling",False,"ravena, aresa, nods, tenses, looks, hurting, walks, wona, marry, stares",Married Couple's Affectionate Stares,"setting:wedding_aisle, activity:staring_and_smiling",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
75,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,low,Bedroom Encounter,"The couple finds themselves in the bedroom, surrounded by pillows and sheets, as they share an intimate moment.","romance_core, physical_affection","setting:bedroom, activity:kissing",False,"bed, bedroom, couch, sheets, sofa, covers, pillows, mattress, flop, edge",Bedroom Encounter,"setting:bedroom, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
78,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Tender Forehead Kisses,"The couple, sitting close, shares tender forehead kisses.","romance_core, physical_affection","setting:car, activity:kissing",False,"lucaa, wraps, enzoa, cups, eliciting, gaze, looks, brushing, arm, smiles",Tender Forehead Kisses,"setting:car, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
97,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,low,Eyes Closed In Intimacy,She closed her eyes as he leaned in for a kiss.,"romance_core, physical_affection","setting:bedroom, activity:kissing",False,"closed, eyelids, shut, sockets, squeeze, vision, fluttered, narrow, bulge, nearly",Eyes Closed In Intimacy,"setting:bedroom, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
125,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",high,False,R9,Heroine responds warmly to hero's tenderness,II,Turning Point & Recognition,False,medium,Mid-flight Makeout,The couple passionately kisses throughout their flight.,"romance_core, physical_affection","setting:airplane, activity:kissing",False,"flight, plane, jet, airport, helicopter, pilot, runway, flying, fly, jfk",Mid-flight Makeout,"setting:airplane, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
129,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Condom Check Before Sex,"He reaches into his wallet, pulling out a condom packet to check its expiration before they proceed.","sexual_content, domestic_life","setting:bedroom, activity:checking_condom",False,"condom, condoms, wrapper, packet, wallet, nightstand, expired, drawer, pocket, rolled",Condom Check Before Sex,"setting:bedroom, activity:checking_condom",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
158,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",4.1,"Meeting, First Impressions & Setup",Relationship Trajectory (Main Couple),medium,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Road Trip Flirtation,"She and Lukas shared breathless, unblinking moments in the car, his murmurs and intense looks hinting at something more.","romance_core, physical_affection","setting:car, activity:flirting",False,"murmured, smirked, saraa, liaa, laughed, humorously, watched, soa, grinned, thoroughly",Road Trip Flirtation,"setting:car, activity:flirting",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
164,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Eye Contact And Connection,"The couple's gazes lock, creating a moment of intense connection.","romance_core, physical_affection","setting:eyes, activity:gazing",False,"locked, stare, gazes, stared, lock, othera, moment, staring, meet, air",Eye Contact And Connection,"setting:eyes, activity:gazing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
171,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Bedroom Intimacy,"The couple sits on the bed, legs touching, as they share intimate moments.","romance_core, physical_affection","setting:bedroom, activity:kissing",False,"bed, mattress, bedroom, edge, sits, carries, covers, pushes, pillow, crawls",Bedroom Intimacy,"setting:bedroom, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
184,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Low Voice Conversations,"He speaks to her, his voice low, in a quiet, intimate setting.","romance_core, physical_affection","setting:quiet_room, activity:conversation",False,"low, lowers, trails, gruff, husky, hoarse, drops, rough, speaks, soft",Low Voice Conversations,"setting:quiet_room, activity:conversation",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
196,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Admiring Handsome Man,She admires his stunning features and irresistible looks in a luxurious hotel suite.,"romance_core, physical_affection","setting:hotel_suite, activity:admiring",False,"attractive, hea, incredibly, refined, devastatingly, handsomeness, irresistible, looks, endowed, looked",Admiring Handsome Man,"setting:hotel_suite, activity:admiring",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
207,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,high,Scent-induced Arousal,"She closes her eyes, inhaling deeply, as his masculine scent fills her nostrils, igniting a wave of desire in the bedroom.","sexual_content, romance_core","setting:bedroom, activity:scent_smelling",False,"scent, cologne, smell, smells, smelled, soap, musk, sandalwood, cedar, masculine",Scent-induced Arousal,"setting:bedroom, activity:scent_smelling",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
211,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,low,Hair Play During Intimacy,"She runs her fingers through his hair, playing with the strands as they sit close together.","romance_core, physical_affection","setting:bedroom, activity:kissing",False,"hair, blonde, waves, shoulders, bun, strands, fell, swept, breeze, braid",Hair Play During Intimacy,"setting:bedroom, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
227,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",medium,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Voyeuristic Secretary,"A secretary, feeling watched by her boss, struggles with her emotions while working late.","romance_core, sexual_tension","setting:office, activity:working, sexual:eyes_on_me",False,"emersona, feels, scuffle, replies, destructive, cra, voyeur, involves, announces, filing",Voyeuristic Secretary,"setting:office, activity:working, sexual:eyes_on_me",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
229,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Fascinated Gaze,"She looks at him, her gaze widening with fascination.","romance_core, physical_affection","setting:face_to_face, activity:staring",False,"widens, narrowed, gaze, widened, widen, tilts, narrows, brows, tilted, furrowed",Fascinated Gaze,"setting:face_to_face, activity:staring",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
235,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Imperious Gaze,"He stares imperiously at her, his gaze intense and commanding.","romance_core, sexual_tension","setting:bedroom, activity:staring",False,"henrya, dennya, turns, smuckersa, gaze, spins, narrows, everybody, defray, gets",Imperious Gaze,"setting:bedroom, activity:staring",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
255,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,high,Hot And Heavy Flirting,"She blushes, playfully teasing him about being the 'hottest' person she's ever met.","romance_core, physical_affection","setting:kitchen, activity:teasing, activity:flirting",False,"hotter, smoking, hots, hottest, really, extremely, totally, scorpion, empathetic, ceaseless",Hot And Heavy Flirting,"setting:kitchen, activity:teasing, activity:flirting",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
257,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Scent-induced Arousal,"She notices his captivating scent, feeling a sudden surge of arousal.","romance_core, sexual_tension","setting:distillery, activity:sensing",False,"smell, scent, perfume, smells, smelled, air, scents, smelling, distillery, lavender",Scent-induced Arousal,"setting:distillery, activity:sensing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
271,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,medium,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Physical Labor And Attraction,She remembered his sculpted body from years of construction work as they stood close in the kitchen.,"romance_core, physical_affection","setting:kitchen, activity:remembering_past",False,"sama, couldn, didn, sculpted, conquest, labor, charmed, insisting, advantage, defenses",Physical Labor And Attraction,"setting:kitchen, activity:remembering_past",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
280,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,medium,Growling During Intimacy,He growls deeply as they make out in the bedroom.,"sexual_content, domestic_life","setting:bedroom, activity:kissing",False,"growls, groans, growl, rumbles, growling, rips, low, snarls, grunts, rumble",Growling During Intimacy,"setting:bedroom, activity:kissing",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
285,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,I,Initial Conflict & Isolation,False,low,Size Comparison Conversation,"The couple compares the size of objects, leading to flirtatious banter.","romance_core, physical_affection","setting:bedroom, activity:comparing_sizes",False,"bigger, huge, size, solid, heavy, geometry, massive, inch, large, larger",Size Comparison Conversation,"setting:bedroom, activity:comparing_sizes",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
317,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Scent-induced Intimacy,"She notices his scent, triggering intimate thoughts and actions.","romance_core, physical_affection","setting:bedroom, activity:scent_perception",False,"scent, smelled, smell, perfume, nostrils, shampoo, smells, coconut, lavender, flowers",Scent-induced Intimacy,"setting:bedroom, activity:scent_perception",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
347,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R9,Heroine responds warmly to hero's tenderness,II,Turning Point & Recognition,False,low,Expressive Yes,She expresses her agreement with a resounding 'yes'.,"romance_core, physical_affection","setting:conversation, activity:expressing_agreement",False,"yessss, , , , , , , , , ",Expressive Yes,"setting:conversation, activity:expressing_agreement",B1_attraction_chemistry,B1) Attraction & Sexual Chemistry,sexual tension + kissing (pre-coital intimacy)
48,3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,low,Deep Breaths During Emotional Moment,She takes deep breaths to calm herself during an emotional moment.,"romance_core, relationship_conflict","setting:home, activity:breathing",False,"breath, lungs, deep, exhale, inhale, breathing, exhaled, breaths, heavily, air",Deep Breaths During Emotional Moment,"setting:home, activity:breathing",B2_emotional_intimacy,B2) Emotional Intimacy,emotional closeness (non-physical)
156,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,low,Trust Assurance Conversation,"The couple, sitting at a table, reassures each other about their trust and commitment.","romance_core, relationship_conflict","setting:table, activity:conversation",False,"trust, trusted, trustworthy, issues, forgave, able, instincts, circle, gut, cana",Trust Assurance Conversation,"setting:table, activity:conversation",B2_emotional_intimacy,B2) Emotional Intimacy,emotional closeness (non-physical)
275,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,II,Turning Point & Recognition,False,medium,Back-to-back Support,"The couple stands back-to-back, each having the other's back in a moment of solidarity.","romance_core, physical_affection","setting:standing, activity:back_to_back",False,"othera, lives, compatible, live, better, work, connected, synapses, physically, pasts",Back-to-back Support,"setting:standing, activity:back_to_back",B2_emotional_intimacy,B2) Emotional Intimacy,emotional closeness (non-physical)
330,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R8,Hero treats heroine tenderly,II,Turning Point & Recognition,False,medium,Smiling And Laughing Together,"The couple, smiling and laughing, shares playful moments together.","romance_core, physical_affection","setting:various, activity:laughing, activity:smiling",False,"marleya, confidante, splutters, goofily, pleads, kicking, suma, ra, stylist, glance",Smiling And Laughing Together,"setting:various, activity:laughing, activity:smiling",B2_emotional_intimacy,B2) Emotional Intimacy,emotional closeness (non-physical)
363,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,medium,False,R9,Heroine responds warmly to hero's tenderness,II,Turning Point & Recognition,False,medium,Goofball's Webcam Connection,"She watches him on webcam, feeling a connection despite his goofball antics.","romance_core, physical_affection","setting:webcam, activity:video_chat",False,"garretta, fulfilled, owners, sees, accepting, shouldna, letting, prophecy, webcam, salaciousa",Goofball's Webcam Connection,"setting:webcam, activity:video_chat",B2_emotional_intimacy,B2) Emotional Intimacy,emotional closeness (non-physical)
1,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,III,Commitment & Restoration,False,high,Intimate Breast And Nipple Kissing,He gently kisses her breasts and nipples while she responds with soft moans.,"physical_affection, sexual_content","setting:bedroom, activity:kissing",False,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",Intimate Breast And Nipple Kissing,"setting:bedroom, activity:kissing",C_explicit_eroticism,C) Explicit Eroticism,explicit sexual act language (heterogeneous by design — use in ratios)
2,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,III,Commitment & Restoration,False,high,Clitoral Stimulation During Foreplay,"She spreads her legs, allowing him to run his tongue along her clit as she moans into his neck.","sexual_content, romance_core","setting:bedroom, activity:oral_sex, sexual:clitoral_stimulation",False,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",Clitoral Stimulation During Foreplay,"setting:bedroom, activity:oral_sex, sexual:clitoral_stimulation",C_explicit_eroticism,C) Explicit Eroticism,explicit sexual act language (heterogeneous by design — use in ratios)
15,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,III,Commitment & Restoration,False,high,Clitoral Stimulation During Foreplay,He rubs her clit with his hand while they make out in the elevator.,"sexual_content, romance_core","setting:elevator, activity:making_out, sexual:clitoral_stimulation",False,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, pulls",Clitoral Stimulation During Foreplay,"setting:elevator, activity:making_out, sexual:clitoral_stimulation",C_explicit_eroticism,C) Explicit Eroticism,explicit sexual act language (heterogeneous by design — use in ratios)
