label,topic_id,trash_median,trash_mean,top_median,cliffs_top_trash,prevalence,mass,keywords,label_is_noise
Apologetic Excuse Me,65,0.006843019489277992,0.006888894969069535,0.006844534687682803,0.06,1.0,0.006854003797770903,"excuse, aye, alright, look, ew, excellent, bye, called, lottiea, buta",False
Fascinated Gaze,229,0.006826619889702729,0.0069269552884910586,0.00525557958176383,-0.26222222222222225,0.967391304347826,0.006078669744995049,"widens, narrowed, gaze, widened, widen, tilts, narrows, brows, tilted, furrowed",False
Wine-drinking At Table,6,0.00657196562490864,0.007341365046688743,0.007839914693592881,0.2311111111111111,1.0,0.008501626730414038,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",False
Hatred-fueled Argument,202,0.0065628729346026956,0.0065699753093644,0.006146903287954413,-0.19555555555555557,1.0,0.006507619125878023,"hated, hate, hates, despised, disliked, hating, represented, despise, history, hatred",False
Puzzled Decision Making,77,0.006207270253988765,0.0063820792883304955,0.0067712674114258015,0.14888888888888888,1.0,0.006660329123787672,"asks, asked, replies, whata, doing, says, answered, demanded, howa, tone",False
Intimate Breast And Nipple Kissing,1,0.006031124949313769,0.028740628959059156,0.004661473482271421,-0.3,1.0,0.01984039195187068,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",False
Reunion After Argument,341,0.006021025509875153,0.006486227732226634,0.0059839101829983945,-0.10666666666666667,1.0,0.0064809268069591355,"leaving, mirandaa, disrespectful, hadna, replacement, coolly, reunion, bogged, realizations, supplication",False
Firm Rejections,345,0.0060008556807020375,0.005928461205448788,0.005855999567477038,0.02,1.0,0.006084875910374741,"dona, coy, daft, tramp, start, naa, pffft, dreamsa, downplay, maserati",False
Clitoral Stimulation During Foreplay,2,0.005969532977335374,0.009789362248926682,0.008465022952462571,0.19666666666666666,0.9891304347826086,0.01037519956433541,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",False
Knocking On Door,10,0.005933168145390219,0.00703055339302975,0.007377220227976296,0.26,1.0,0.007381748736440695,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",False
Awkward Questions At Door,139,0.005878543096357776,0.005195134949090453,0.0036196010975987573,-0.32222222222222224,1.0,0.004490991436019417,"asked, asks, doing, replied, whata, demanded, prompted, says, suspiciously, uh",False
Relaxing Moment,360,0.005768453518727836,0.005696735880740644,0.00663026337109945,0.24888888888888888,0.9891304347826086,0.006113079327140518,"relax, rest, relaxing, relaxed, enjoy, relaxation, relaxes, abysmally, averse, awash",False
Belief Discussion,249,0.0057175680530993835,0.005642648568959646,0.00596883348386833,0.21333333333333335,1.0,0.005902872868026815,"believe, admit, cana, expect, macka, validity, scotcha, ehh, prophecy, laminate",False
Whispered Love Confessions,96,0.005572720913941731,0.005374596740984772,0.004234823011774086,-0.2088888888888889,0.9891304347826086,0.004991757816379555,"whispers, whispered, whisper, softly, breaking, ear, plea, murmured, soft, someday",False
Bedroom Intimacy,171,0.005381183663333245,0.0059897143214707555,0.0062669587535143425,0.22444444444444445,1.0,0.005961702085949749,"bed, mattress, bedroom, edge, sits, carries, covers, pushes, pillow, crawls",False
Protective Conversations By Firelight,250,0.005375469461238087,0.007171181554693953,0.0036411495932770427,-0.3488888888888889,1.0,0.0057493614547763,"loved, loves, adored, clearly, humbled, protector, cared, soul, madly, conversations",False
Threatening Affair Disclosure,333,0.0052758142835679185,0.005263918355119579,0.005149429776504089,-0.07555555555555556,1.0,0.005414206504050107,"marca, weapons, compare, threats, sworn, cubicle, hadn, york, affair, conscious",False
Schoolyard Argument,264,0.00514776309056824,0.005587857594247295,0.0063133956097160045,0.28444444444444444,1.0,0.0064371121789374396,"lilliea, rubya, daughtera, holds, daughter, squeeze, starts, dumpling, eleanora, school",False
Reluctant Relationship Choices,114,0.005116158670159099,0.0055677736997294825,0.005586791813109067,0.13333333333333333,1.0,0.006044193881214496,"taga, asked, drewa, wasna, replied, enthralled, hadna, kadea, choices, deter",False
Dinner Invitation,3,0.005065004940564338,0.0053609138345765035,0.0054927824812854055,0.14888888888888888,1.0,0.006305177725580332,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",False
Sisters Reflecting On Childhood,350,0.004934146463309055,0.005221013341545428,0.005952181395022149,0.2822222222222222,1.0,0.005643969915660499,"didn, wasn, won, sell, childhood, months, guarded, defensive, sister, problemsa",False
Exiting Through Doorways,27,0.00491484016277449,0.004949832444946429,0.003372773087993975,-0.30666666666666664,1.0,0.0043668327323307015,"door, doors, opened, car, stairs, shut, stepped, purse, headed, walked",False
Breast And Nipple Foreplay,162,0.004877919438521247,0.004691008712775997,0.004113566732211887,-0.17333333333333334,0.9891304347826086,0.004361032269378727,"skirt, dress, breasts, nipples, curves, fabric, wore, panties, lace, blouse",False
Emotional Panic Attack,160,0.004783927147849266,0.005060462488104882,0.0032759762187872634,-0.2644444444444444,0.9891304347826086,0.004312453635752103,"gasped, tears, panic, cheeks, stomach, tear, hips, winced, wiped, belly",False
Stubble And Tousled Hair,312,0.004530508225569918,0.006072475301556038,0.0063425026010219075,0.22444444444444445,1.0,0.006022421712233266,"hair, stubble, shaved, forehead, tousled, shaven, shave, mussed, scruff, shadow",False
Evening Boat Ride,220,0.004449451591185118,0.004987333044556605,0.003974326688630051,-0.19333333333333333,0.9891304347826086,0.0059609422093953755,"margota, eddiea, couldn, didn, wasn, blinked, moment, raised, boat, inspiration",False
Yearlong Relationship Reflection,311,0.004256866721060016,0.00446792795634711,0.004880256412054763,0.20666666666666667,1.0,0.004629805454641309,"wea, shared, downs, cycle, yearlong, created, worked, years, squared, accidentally",False
Mid-flight Makeout,125,0.004216605232194023,0.004328778916005719,0.004524930327344169,0.23777777777777778,1.0,0.004466456778191646,"flight, plane, jet, airport, helicopter, pilot, runway, flying, fly, jfk",False
Shower Hygiene,57,0.004130231087274958,0.0044916057270154896,0.003963799422218939,0.16111111111111112,1.0,0.004788687787640102,"shower, bathroom, bath, tub, toilet, bathtub, showers, restroom, showering, showered",False
Moral Dilemma Discussion,314,0.004098187877648622,0.003796199705420736,0.004019680453164329,0.08666666666666667,1.0,0.003837481597142603,"thing, proves, exactly, thinga, telegraphing, humane, accurately, percent, accept, winner",False
Admiring Intelligence,233,0.004088618861215278,0.004161679971194985,0.0029182036671088155,-0.2644444444444444,1.0,0.0036773383738673117,"loved, liked, adored, attractive, proud, intelligent, looked, excellent, pieces, stunning",False
Desperate Harem Offer,208,0.004058907662224156,0.004452761727925147,0.0042308501172793455,-0.04888888888888889,1.0,0.004255129828317674,"wants, wanted, want, badly, astonishingly, desperate, bluest, harem, alwaysa, empowering",False
Privacy Concerns Conversation,367,0.00398385351155086,0.004320496327387657,0.004344375622484891,0.18444444444444444,1.0,0.004284599095672861,"privacy, safer, protected, protect, invasion, protection, safety, safea, duty, secure",False
Apology And Forgiveness,61,0.0039660126141575665,0.0036958183194578803,0.003675020323524947,0.03111111111111111,0.9782608695652174,0.004100721603807252,"apologize, forgive, sorry, apology, apologized, apologizing, forgiveness, forgiven, apologies, profusely",False
Hair Play During Intimacy,211,0.003935255934337723,0.003864114309533827,0.0030841866447763955,-0.18444444444444444,0.9782608695652174,0.0035936129399040183,"hair, blonde, waves, shoulders, bun, strands, fell, swept, breeze, braid",False
Hair Tugging During game,102,0.0038596654544973707,0.004457148640144367,0.005087209349106225,0.24222222222222223,1.0,0.004537470877934967,"hair, strands, brushes, grip, strand, handful, hand, runs, threads, gently",False
Scent-induced Intimacy,317,0.003811072309156769,0.003655028700428482,0.0033412637458931525,-0.18666666666666668,0.9782608695652174,0.0033935695286522456,"scent, smelled, smell, perfume, nostrils, shampoo, smells, coconut, lavender, flowers",False
