label,prevalence,mass,concentration_ratio,topic_id,keywords,scene_summary,label_is_noise
Angry Argument,1.0,0.0037700188046255853,2.064240572355452,276,"anger, rage, furious, burning, dense, disrespectful, temper, thrums, bitterness, rising","She glared at him, her anger rising as she accused him of being disrespectful.",False
Angry Glare During Argument,0.9021739130434783,0.001981044138739872,15.767456644631842,286,"zanea, shrugged, trevilloa, krissana, supreme, shouldered, glare, priest, flashed, folded","The couple, standing in the kitchen, glares at each other during an intense argument.",False
Angry Shouting Match,0.8913043478260869,0.0015377742370183466,2.7427840177838507,166,"shouted, yelled, yell, yells, yelling, bellowed, shouting, exasperation, jump, shouts","She shouts in exasperation, her voice echoing in the bathroom as he stands there, unmoved.",False
Animal Farm Visit,0.33695652173913043,0.0011250647004437048,6.7612058677425475,83,"goats, dogs, animal, puppies, animals, sheep, pet, lion, pets, hound","The couple visits a farm filled with goats, dogs, and other animals.",False
Annie's Gossip Reading,0.03260869565217391,0.0007473966682640549,7.323425321212906,357,"wasn, couldn, hungover, recognized, didn, innocently, indicated, whats, accordion, herculean",Annie reads gossip magazines in her living room to stay updated on social trends.,False
Anxious Voice Hearing,0.20652173913043478,0.0009079808993352044,3.390256741615561,346,"clairea, admirable, passionate, unenthusiastically, shortcuts, abysmally, verb, anxiousness, horrors, nonnegotiable","She hears her name called, feeling anxious and uncertain about the voice's source.",False
Apologetic Excuse Me,1.0,0.006854003797770903,1.5167109658964957,65,"excuse, aye, alright, look, ew, excellent, bye, called, lottiea, buta","She hesitates, then says 'excuse me' in a soft, uncertain voice.",False
Apology And Forgiveness,0.9782608695652174,0.004100721603807252,2.1245392623448183,61,"apologize, forgive, sorry, apology, apologized, apologizing, forgiveness, forgiven, apologies, profusely","She apologizes for her mistake, and he forgives her, leading to a moment of emotional connection.",False
Apprehensive Password Exchange,0.043478260869565216,0.0010007650728662693,26.43861979650417,199,"liaa, case, password, owners, kick, danish, perking, disappear, ehhh, happening","She hesitates before sharing her password, feeling apprehensive about the figurative implications.",False
Archery Hunting,0.11956521739130435,0.0015507027206501625,17.338214347918814,34,"huntera, cards, california, glanced, archery, turned, chips, shoulder, gritted, threw","The couple, wary of each other, engages in a game of archery at a hunting event.",False
Archery Practice,0.03260869565217391,0.0008049062091403605,30.034199765037197,138,"sailora, sailors, archery, promised, sparrowa, cards, tapes, arrows, broccoli, pact",The couple practices archery together at a range.,False
Argument About Betrayal,0.9891304347826086,0.0034242903939081036,10.959875396625009,295,"alexaa, spell, bookcrazy, execute, spells, explosion, grateful, shared, friend, dazed","He bit back the words about Alex's betrayal, his heart sinking as he followed her mother into the house.",False
Argument About Saying No,0.016304347826086956,0.0004100297330586608,2.602122266903413,32,"firmly, offense, answered, youa, say, flatly, problem, replied, saying, wona",She argues with him about not having a say in the matter.,False
Argument With Glare,0.03260869565217391,0.000455137588736406,21.63075951402932,252,"westona, growls, straightens, cautions, scowls, movea, retorts, turns, smoldering, oops","He glares at her, voice hard, as she retorts with a smirk.",False
Arrogant Man's Behavior,1.0,0.0037100090946570073,2.0986232105579115,297,"arrogance, cocky, smack, hea, insufferable, jerks, pompous, decides, jerky, sleazebag",A woman notices and reacts to the arrogance of a man.,False
Attraction At First Glance,0.05434782608695652,0.0010664111464869079,31.889296034303154,46,"didn, hardya, wasn, murmured, looked, pickup, wondered, couldn, heard, gave","She notices him across the room, their eyes meeting briefly before she looks away, feeling a spark of attraction.",False
Audience-focused Decision,0.010869565217391304,0.0016932185245898824,63.289864672127905,206,"hadn, didn, audience, couldn, lavishing, blinked, glanced, wouldn, formidable, compact","Poppy, on stage, considers her audience's reaction before turning back to her rival.",False
Author Acknowledgment Section,0.31521739130434784,0.0009601430183924933,4.45334968630278,194,"authors, acknowledgments, authora, reviews, reading, purchase, series, thank, authorized, fiction",The author thanks readers and acknowledges supporters in the acknowledgments section of their novel.,True
Awkward Handshake Introduction,0.42391304347826086,0.0013799308486806667,9.820393299922328,242,"davea, elliea, says, asks, clasps, sadiea, class, gives, handshake, lottiea","Ellie hesitates before extending her hand to Lottie, who looks uncertain about the gesture.",False
Awkward Questions At Door,1.0,0.004490991436019417,1.8620869414529264,139,"asked, asks, doing, replied, whata, demanded, prompted, says, suspiciously, uh","She hesitates at the door, asking him 'What is it?' with a stammer.",False
Back-to-back Support,0.9347826086956522,0.0020764646888668833,2.929246192000973,275,"othera, lives, compatible, live, better, work, connected, synapses, physically, pasts","The couple stands back-to-back, each having the other's back in a moment of solidarity.",False
Bedroom Encounter,1.0,0.0034199986930822453,2.3794586462948866,75,"bed, bedroom, couch, sheets, sofa, covers, pillows, mattress, flop, edge","The couple finds themselves in the bedroom, surrounded by pillows and sheets, as they share an intimate moment.",False
Bedroom Intimacy,1.0,0.005961702085949749,3.7562424892842663,171,"bed, mattress, bedroom, edge, sits, carries, covers, pushes, pillow, crawls","The couple sits on the bed, legs touching, as they share intimate moments.",False
Bedtime Routine,0.9782608695652174,0.0035176725132322678,2.5440318962229163,146,"bed, mattress, bedroom, sheets, covers, climb, lay, edge, blankets, pillow","She gets into her own bed, turning right around after a long day.",False
Belief Discussion,1.0,0.005902872868026815,1.5510143870338473,249,"believe, admit, cana, expect, macka, validity, scotcha, ehh, prophecy, laminate",The couple discusses their beliefs in the garage.,False
Birdwatching In Park,0.20652173913043478,0.000845237721110486,5.741010159068701,218,"pigeon, birds, duck, duckling, chirping, wings, speculate, pecking, crows, antics","The couple sits on a bench in the park, watching birds and ducks.",False
Birthday Surprise For Friend,0.44565217391304346,0.001293747484248514,8.971134482659432,193,"patricka, yells, dopey, friend, nervously, announces, nudging, presents, birthday, wasted",She excitedly plans and executes a surprise birthday party for her friend.,False
Bluffing About Feelings,0.20652173913043478,0.0016822858529508408,45.12129456457713,66,"didn, couldn, swallowed, glanced, nodded, hadn, giggled, wasn, despite, friend",Abbey struggles to understand and express her feelings while interacting with someone.,False
Blushing Cheeks Conversation,0.9130434782608695,0.002169402551518919,2.3944847240613742,355,"cheeks, flush, flushes, sears, burn, floods, redden, flushed, burns, hotter",She felt her cheeks heat as she struggled to express her feelings.,False
Board Game Around Table,0.07608695652173914,0.0022718674318035533,26.158216717652984,23,"reesea, merinaa, gwynetha, taga, board, hadna, gave, told, cadea, wasna","The couple sits around a table, playing a board game, their hands occasionally touching.",False
Boardroom Negotiation,0.09782608695652174,0.0012248545727606022,29.85173279999287,118,"holta, donovana, doesna, zullya, addressing, lets, publicity, finds, knows, forthcoming","The couple sits across from each other at a boardroom table, discussing a business deal.",False
Boss's Boss Interaction,0.7934782608695652,0.0018956035979704946,6.25352782301484,60,"bossa, ceos, employee, bosses, board, company, manager, job, hea, youa",The employee interacts with their boss's boss in a professional setting.,False
Breakup Reflection,0.03260869565217391,0.0006394324544554096,32.47128082360213,197,"breakera, asks, closure, margaritas, refer, rule, joins, numbers, says, uh","She sits alone, margarita in hand, reflecting on their breakup and the decade they spent together.",False
Breast And Nipple Foreplay,0.9891304347826086,0.004361032269378727,2.5444691512594404,162,"skirt, dress, breasts, nipples, curves, fabric, wore, panties, lace, blouse","She teasingly caresses her breasts and nipples, her partner watching intently.",False
Breast And Nipple Play,0.9945652173913043,0.004227769112925997,4.055867574943518,133,"nipple, nipples, breasts, breast, cups, pinches, sucking, thumbs, tongue, thumb",He teases her nipples with his thumbs and tongue.,False
Business Attire In Office,1.0,0.003190531383503363,2.069450245358806,343,"navy, tie, wearing, crisp, shirt, tailored, charcoal, perfectly, custom, wore","He, dressed in a crisp navy suit and tie, stands in his office, negotiating a business deal.",False
Business Call Negotiation,1.0,0.0035175320276132293,1.9452372891497136,326,"calling, called, anytime, earliest, calls, later, convenience, alright, pressa, newsa",The couple discusses business terms over the phone in their home office.,False
Business Deal Negotiation,0.8967391304347826,0.003024904790899637,4.404030147613793,195,"spoke, asked, cartera, walked, reservation, blakea, noraa, smiled, pro, standards","The couple, seated around a table, engages in intense negotiations over a business deal.",False
Business Discussion,1.0,0.0037002793664285246,2.9359345749746364,33,"business, company, dollars, pay, job, million, thousand, paid, investment, cost",The couple discusses business matters at the dinner table.,False
Business Expansion Negotiation,0.8478260869565217,0.0016942726590399733,6.709548281108526,298,"aren, jail, nightlife, means, fatherless, haired, undisclosed, lizards, derision, inspires","The stocky, brown-haired man, Travis, negotiates a business deal in his office, aiming to launch himself into the top ranks of Texas developers.",False
Business Meeting Negotiation,0.9456521739130435,0.002106455311553553,1.9549654887642678,296,"meeting, office, meetings, board, offices, conference, tomorrow, engineering, noon, business",The couple discusses business terms in an office setting.,False
Business Meeting With Client,0.05434782608695652,0.0019396142782701939,35.80892047884134,191,"eddiea, wasn, onboarding, didn, couldn, blinked, mitchella, meeting, complied, karaoke","Eddie meets with a client in an office, discussing business and his role in the company.",False
Captain's Real Name Revelation,0.03260869565217391,0.0008884616338844457,38.448008467150295,246,"captaina, following, wraps, moves, weeksa, badge, placing, stands, try, looks","She turns in his arms, smiling up at him, as he reveals his real name over the intercom.",False
Car Ride Negotiation,0.2826086956521739,0.0011260822215701446,23.62930387144613,261,"doesn, introduce, cajoled, disarming, sangria, teaches, uncompromising, tendencies, horizontal, protocol","She sits in the passenger seat, trying to reason with him as he drives.",False
Career-focused Relationship Struggles,0.1956521739130435,0.0008432032388865267,1.5251804993491558,240,"ia, worked, applied, developed, years, tasked, built, research, achieved, deal",She thought about their relationship while booking a flight for her career opportunity.,False
Careful Tune-up Before Night Out,0.75,0.001376069375145091,2.822350290907425,265,"just, checking, saya, practicing, record, careful, tune, curveball, easy, peasy",She carefully checks and tunes her car before their night out.,False
Casual Conversations,0.3967391304347826,0.0010648252494130479,3.7740982882420187,143,"conversation, talk, conversations, discuss, need, chat, talked, later, having, discussion","The couple engages in light, informal discussions while spending time together.",False
Changes In Relationship Dynamics,0.9239130434782609,0.0016771823623942584,2.3000261033647744,168,"changed, change, changes, everythinga, mind, topic, things, subject, revise, transformation",The couple discusses the changes in their relationship over time.,False
Cheek Heating Conversation,0.22826086956521738,0.0007571914556845511,8.311078639636266,182,"tough, umma, jerky, battle, dig, cheeks, theya, talk, getting, ita","She blushes, her cheeks heating up as she discusses something personal with him.",False
City Apartment Lease Negotiation,0.8913043478260869,0.0016499486639371683,2.9010957707276672,86,"york, rent, lease, city, rental, pay, live, monthly, renting, montha","The couple sits around a table in their New York City rental, discussing the terms of their lease with their landlord.",False
Clan Heir's Obsession,1.0,0.003355408578290751,6.1315022773625705,209,"fitzpatricka, brennana, eldest, clan, ireland, unwarranted, obsession, wing, adoptive, squash","The eldest son of a powerful clan is consumed by an unwarranted obsession with his adoptive sister, leading to intense, often inappropriate interactions.",False
Clarifying Conversation,0.08695652173913043,0.0005261494320619415,14.544791519031566,238,"rumbles, load, huh, point, isna, things, asked, , , ","The couple sits at a table, trying to understand each other's perspective.",False
Classical Music Appreciation,0.8043478260869565,0.0015363454117573363,4.1116214393494,289,"music, band, song, musicians, classical, jazz, playing, play, speakers, songs",The couple enjoys listening to classical music together.,False
Clever Insults During Argument,0.33695652173913043,0.000933606175514438,6.304167985196804,262,"imply, clever, honestly, gives, , , , , , ","She glares at him, retorting with a clever insult as they argue in the kitchen.",False
Clitoral Stimulation During Foreplay,0.9891304347826086,0.01037519956433541,6.820181727034963,2,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower","She spreads her legs, allowing him to run his tongue along her clit as she moans into his neck.",False
Clitoral Stimulation During game,0.9130434782608695,0.0017854974117622337,3.0562299076861685,308,"hea, confidence, preferred, redesigned, jugular, react, truest, amped, advertised, correct","He gently caresses her clitoris as they lie on the bed, building anticipation before going further.",False
Clothing Shopping Together,0.9891304347826086,0.0015079222795703286,1.4694691016958383,31,"wea, wear, clothes, outfit, wearing, going, wardrobe, worn, clothing, doing","The couple browses clothing racks, trying on outfits and discussing their choices.",False
Cocky Shark's Vows,0.03260869565217391,0.0011856488347915034,21.968062976443125,331,"biancaa, jambalaya, tremulous, egotistical, presumptuous, enzoa, scooping, muttered, shark, vows","In a tense moment, Bianca's eyes widen as the cocky shark vows to run, leaving her uncertain about their relationship.",False
Cocky Smirk During Argument,0.532608695652174,0.0012737052458199883,3.493727046808157,267,"nods, smirks, smirk, knowingly, solemnly, fuss, politely, broaden, fixed, amused",He smirks cockily at her during an intense argument.,False
Color Scheme Discussion,1.0,0.006605303321357596,1.5669550053612327,307,"colors, favorite, yellow, scheme, bright, ones, shade, primary, packets, burgundy",The couple discusses their favorite colors and shades around the table.,False
Compliments And Flirting,0.9021739130434783,0.0016029709900003417,3.159321523037165,58,"look, youa, stunning, seen, attractive, sweeter, breathtakingly, absolutely, utterly, looks",She receives compliments about her appearance from him.,False
Compromising Photoshoot,0.2391304347826087,0.0012267452523020998,23.43071343571262,266,"shots, client, grinned, wouldn, compromising, photos, assured, meridian, explicit, le",Abbey positions a man for incriminating photos while her accomplice captures the shots.,False
Condom Check Before Sex,0.2826086956521739,0.0007757592488827088,3.5697022960212093,129,"condom, condoms, wrapper, packet, wallet, nightstand, expired, drawer, pocket, rolled","He reaches into his wallet, pulling out a condom packet to check its expiration before they proceed.",False
Confused About Feelings,1.0,0.001905582703074138,2.066948320839713,41,"ia, used, going, complaining, anymore, ready, heartless, ashamed, wrong, doing","She sits alone, confused about her feelings for him.",False
Confused About Relationship Feelings,0.03260869565217391,0.0011967459308531454,56.38481235236993,74,"emmetta, britta, fact, grin, smirked, second, snorted, fuckina, laughed, amazed","The couple sits in a stadium, stunned and amazed, trying to understand their complex feelings for each other.",False
Confused Conversations,0.31521739130434784,0.0009167320234532509,1.8326264015172191,253,"doing, demanded, asked, going, shrug, stammer, supremacy, question, sacrilege, chides","She looks at him, confused, as he stutters and struggles to explain his actions.",False
Confusing Conversations,0.9891304347826086,0.00319810782988972,1.4881495695466282,153,"odd, confusing, complicated, weirdest, creepy, surprising, feels, strangest, weirdo, peculiar","The couple struggles to understand each other in a series of odd, confusing conversations.",False
Constant Hate And Dislike,1.0,0.0027640644812042476,2.080592638544161,117,"hated, hate, hates, hating, despised, loathe, loathed, dislike, disliked, hatred",He constantly expresses his hatred and dislike for something or someone.,False
Contract Negotiation,1.0,0.0022050616973852927,2.5278253259629806,309,"contract, signed, contracts, sign, clause, dalliances, promissory, signing, read, contracta",The couple discusses and negotiates the terms of a contract around a table.,False
Convenient Travel Options,0.967391304347826,0.0021185580447825067,2.6184269086184395,121,"better, easier, vossameera, possibly, probably, smoother, suppose, sakes, option, ideal",The couple discusses better and more convenient travel options for their future trips together.,False
Dates And Calendar Confusion,1.0,0.0025047405349875747,2.6072547603539578,144,"dates, datea, dated, isna, official, started, service, bring, apps, canceling","She struggles to manage her calendar, trying to fit in dates with him.",False
Death And Suicide Conversations,1.0,0.003574452383979584,2.2517254016035237,216,"die, dead, died, deaths, killed, dying, mortification, murdered, murder, kills",The couple discusses their fears and past experiences with death and suicide.,False
Deceptive Relationship,1.0,0.002399170774852212,1.6419817766615836,63,"lie, lied, lying, lies, deception, truths, outright, omission, liara, believe","She lies to him about her whereabouts, trying to hide her true feelings.",False
Deep Breaths During Emotional Moment,0.967391304347826,0.0034001658901357096,3.0204578774371544,48,"breath, lungs, deep, exhale, inhale, breathing, exhaled, breaths, heavily, air",She takes deep breaths to calm herself during an emotional moment.,False
Deflecting Blame,1.0,0.0024066599589878564,2.739415526985278,150,"industries, fault, dona, anythinga, avaa, aa, shoulda, dramatic, stop, consented","He tries to deflect blame for a past mistake, but she insists it's not his fault.",False
Desire And Regret Conversation,0.9782608695652174,0.002833580240375697,2.3827305290029206,99,"loved, loves, adored, utterly, madly, vacuum, told, despite, desperately, falling","The couple, sitting at the table, discusses their feelings of desire and regret from the past.",False
Desolate Emotional Conversation,0.06521739130434782,0.0014223792150428428,32.7276204844319,73,"simona, karaa, answered, completely, rarity, loved, desolate, special, happiness, emotionally","In a desolate setting, two acquaintances engage in an emotional conversation about their feelings.",False
Despairing About Worst Scenarios,0.6739130434782609,0.0012169870652508265,2.3391038720818025,174,"worse, worst, happen, things, terrible, far, horrible, despicable, scenario, times","She sat alone, contemplating the worst-case scenarios that could possibly happen.",False
Desperate Harem Offer,1.0,0.004255129828317674,2.0987603504780754,208,"wants, wanted, want, badly, astonishingly, desperate, bluest, harem, alwaysa, empowering","She, desperate for his affection, offers herself to him in a harem-like setting.",False
Dinner Invitation,1.0,0.006305177725580332,3.958874392786196,3,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert","He invites her to dinner, suggesting a restaurant or specific meal.",False
Disco Night Adventure,0.9782608695652174,0.0026848951596891543,21.521580772055025,226,"hayesa, doesna, wants, copying, imperial, disco, infinity, pottery, scandalous, doga",She and her girlfriend dance the night away at a lively disco in Maine.,False
Division Discussion,0.0,0.0001078915216778857,2.4173278989721436,183,"division, stick, excuse, probably, , , , , , ",The couple discusses their division of labor in the kitchen.,False
Dog Whining,0.9891304347826086,0.0032028509554884177,5.79044560436268,284,"whines, maxa, answered, bounds, wriggles, perplexed, barks, outmaneuvered, rigidly, extremes",The dog whines repeatedly from the back of the room.,False
Dominatrix Session,1.0,0.009157512758387904,3.1292601559542432,55,"wants, want, knows, needs, need, hera, needed, teach, ita, likes","A dominatrix guides her client through a BDSM session, focusing on her desires and means of gratification.",False
Doomsday Incident Discussion,0.6847826086956522,0.0012096513382979437,1.760766394858624,248,"happened, happen, happening, did, just, going, interpretation, darlin, doom, gone",The couple discusses the impending doom and failure of an incident in the gallery.,False
Doorway Questions And Answers,0.03260869565217391,0.000841094062573479,36.89557974912223,64,"huxleya, says, asks, lottiea, secure, questions, jpa, davea, glance, stands","The couple pauses at the door, asking and answering questions before moving on.",False
Dress Shopping Together,1.0,0.0022859876627951666,3.741015015882658,53,"dress, dresses, panties, skirt, lace, heels, gown, wearing, wear, stilettos",She tries on various dresses while he waits patiently in the fitting room.,False
Early Morning Hesitation,0.7391304347826086,0.0013640015454302276,2.4006572913315125,225,"early, latea, ita, minutes, bylaws, wasn, stipulate, realized, mosquitoes, technically","She hesitates, unsure if it's too early to share her feelings.",False
Easy Conversations,0.6847826086956522,0.0012346850147953148,2.1188151709719594,128,"easy, simple, straightforward, peasy, natural, surprisingly, ita, easiest, comparison, target","The couple engages in casual, relaxed conversations while spending time together.",False
Embarrassing Admissions,0.9891304347826086,0.0018363870075072646,1.5841087610974087,294,"embarrassing, embarrassed, humiliating, shame, humiliated, embarrassment, ashamed, pity, embarrassinga, spare","She cringes, admitting her embarrassing moments to him in the kitchen.",False
Emotional Argument,1.0,0.0027052919177419253,2.234899486608812,89,"hate, hated, loathe, hating, hates, loathed, dislike, shopping, method, survival",The couple argues heatedly in their living room.,False
Emotional Burden About Marriage,0.8478260869565217,0.0021278277332629214,10.601643687889926,84,"didn, wasn, nicka, couldn, wouldn, flinched, doesn, frowned, struggled, shook","She sat alone, afraid and unsure about her marriage.",False
Emotional Conversation Around Table,0.03260869565217391,0.00043811053419116517,22.742261627085746,268,"ameliea, diary, frowns, tosses, widens, pouts, gaze, glances, breaks, props","The couple sits at a table, engaged in a deep, emotional conversation.",False
Emotional Delusion Conversation,1.0,0.010395936860000978,1.4631428677937393,320,"feelsa, feela, better, feels, felta, feeling, soa, makes, felt, queasy",She struggles to express her confusing feelings about their relationship while he listens intently.,False
Emotional Denial Conversation,0.010869565217391304,0.0002985859006312423,6.171956248644856,340,"reida, ha, mouths, samuela, fortunately, denial, minimized, texta, punched, guarda","She struggles to express her feelings, making him cringe with frustration.",False
Emotional Love Confession,1.0,0.0034362939292948763,1.6830621474777034,282,"loved, respect, grandparentsa, outlast, interfered, woolton, mortgage, exceptions, grandkids, utmost","She told him she loved him, hoping for a reciprocated declaration.",False
Emotional Panic Attack,0.9891304347826086,0.004312453635752103,2.6096564662405193,160,"gasped, tears, panic, cheeks, stomach, tear, hips, winced, wiped, belly","She gasps repeatedly, tears streaming down her cheeks, as panic surges through her body.",False
Emotional Panic Attacks,0.9891304347826086,0.002230578876891651,2.1629073033698085,127,"panic, emotions, emotional, attack, emotionally, attacks, hysteria, unease, excited, panicking","She struggles with sudden, intense feelings of panic and dread.",False
Emotional Relationship Delusion,0.9782608695652174,0.002774832491108677,7.873646487629123,321,"cilliana, antidote, maine, evon, unlike, entertainment, spent, footed, entailed, tolerant","She struggles to understand her confusing feelings about their relationship, sitting alone in her room.",False
Emotional Support At Clinic,0.05434782608695652,0.0020633547234307796,26.8670536144082,51,"maddiea, sama, karaa, clinic, answered, didn, tremulous, couldn, friend, sighed","She sat trembling in the clinic, her sister beside her, as they awaited the physician's results.",False
Emotional Throat Tightness,0.9130434782608695,0.0018167315229093664,2.334091055216562,176,"throat, lump, clear, dries, swallowed, bile, tight, knot, clogged, cough","She struggles to hold back tears, feeling a lump in her throat as she tries to express her emotions.",False
Emotional Voice Cracks,0.8043478260869565,0.0017267546803116799,2.5921236858348884,165,"cracks, trails, muffled, murmur, shaky, sounds, soft, intended, breaking, strangled","She struggles to hold back tears, her voice cracking with emotion.",False
Engagement Surprise,0.03260869565217391,0.0008729843956789743,53.21654185271475,124,"viviana, shallowed, ante, returned, engagement, stunt, instances, cheeks, ex, flushed","The couple's parents, surprised, learn about their engagement.",False
Epic Love Confessions,1.0,0.007319283142732392,1.508988016714759,108,"loved, fall, falling, believe, consuming, isna, true, fickle, kind, loves","The couple, in a quiet moment, confesses their deep, long-standing love for each other.",False
Erotic Lingerie Show,0.6195652173913043,0.0012236898819418397,2.8209715914304287,301,"erotic, sexytimes, dangerously, alluring, unnatural, attractive, desired, seductive, sensual, lingerie","She seductively models lingerie, twirling and posing for him in the bedroom.",False
Evasive Answers,0.043478260869565216,0.0008377141915408309,28.470955106820096,214,"lottiea, asks, says, question, questiona, omg, connect, answer, say, whata","She asks him questions, but he evades giving direct answers.",False
Evening Boat Ride,0.9891304347826086,0.0059609422093953755,21.93973342805347,220,"margota, eddiea, couldn, didn, wasn, blinked, moment, raised, boat, inspiration","The couple relaxes on a boat, enjoying the evening and each other's company.",False
Exasperated Conversations,0.9130434782608695,0.0018197039783063253,2.5215839833254514,181,"lovelloa, released, grunt, expressionless, strides, remained, chuckled, halted, song, shifted","He glowered, exasperated, as she tried to explain herself.",False
Excited Diversion,0.8043478260869565,0.0015183706633599262,2.451346467489857,136,"fun, excited, excitement, entertaining, having, sounds, uncomplicated, goad, diversion, funa","The couple, excited and thrill-seeking, plans a fun activity together.",False
Exclusive Club Nights,0.9239130434782609,0.0020275120170803558,4.697829068795832,274,"clubs, members, exclusive, cluba, stag, wilder, restaurants, member, strip, whores","The couple frequents exclusive clubs, engaging in wild nights out.",False
Exiting Through Doorways,1.0,0.0043668327323307015,2.340967809533777,27,"door, doors, opened, car, stairs, shut, stepped, purse, headed, walked","She opened the door and stepped out into the hallway, leaving him behind in the car.",False
Exploring Virginity,0.7391304347826086,0.0015597480257174203,2.784475635809553,42,"sexual, intimate, virginity, intimacy, having, sexually, blowing, sexa, sexuality, just",She tentatively explores her virginity with him.,False
Expressive Yes,0.010869565217391304,0.00013340509362637257,16.121517931874326,347,"yessss, , , , , , , , , ",She expresses her agreement with a resounding 'yes'.,False
Eye Contact And Connection,0.782608695652174,0.0014898730702745486,2.6436924859238835,164,"locked, stare, gazes, stared, lock, othera, moment, staring, meet, air","The couple's gazes lock, creating a moment of intense connection.",False
Eye Contact And Staring,1.0,0.004334708348192697,4.3405793264504045,20,"gaze, stare, staring, looks, stares, look, stared, glares, glances, looked","The couple's gazes meet and hold, their expressions intense.",False
Eyes Closed In Intimacy,0.9347826086956522,0.002510010110576884,2.3891485450138523,97,"closed, eyelids, shut, sockets, squeeze, vision, fluttered, narrow, bulge, nearly",She closed her eyes as he leaned in for a kiss.,False
Family Apologies And Reconciliation,0.9782608695652174,0.001983021435750712,1.8384033804985591,93,"parents, apologies, died, sister, ex, dada, brogue, pleasure, woozy, daughter","The family gathers around the table, with parents and siblings present, as apologies are exchanged and past faults are addressed.",False
Family Discussion Around Table,1.0,0.0024368318370560967,2.0847088551313058,81,"parents, children, kids, families, familya, aunts, uncles, parentsa, theya, grow","The family sits around the table, discussing their wants and needs.",False
Fascinated Gaze,0.967391304347826,0.006078669744995049,2.15392326080801,229,"widens, narrowed, gaze, widened, widen, tilts, narrows, brows, tilted, furrowed","She looks at him, her gaze widening with fascination.",False
Fearless Ladies Conversation,0.17391304347826086,0.0010112694848552544,19.147129382064595,243,"charlottea, answer, answered, reply, epitome, ladies, stammer, acknowledges, deteriorated, helloa",The fearless ladies engage in an outspoken conversation around the table.,False
Feminist Identity Affirmation,1.0,0.002550054631769833,2.051354892574699,310,"foremost, tend, feminine, ama, ladies, feminist, conscious, especially, godawful, experience",She asserts her identity and purpose as a woman.,False
Firm Rejections,1.0,0.006084875910374741,1.599437881665943,345,"dona, coy, daft, tramp, start, naa, pffft, dreamsa, downplay, maserati",She firmly rejects his advances in the dimly lit room.,False
Forgetting And Reminding,0.6847826086956522,0.0012099052878034179,2.7164848981549223,204,"forget, forgot, forgotten, forgetting, completely, everybody, silliness, friendliest, requisite, defcon","She reminds him of something he'd forgotten, sparking a conversation about their shared past.",False
Freshman Roommate Awakening,0.9456521739130435,0.0021821830653665068,9.515023349428448,338,"freshman, comes, roommate, ey, breasta, earful, doesna, thankfully, offer, shrine","A freshman roommate, Paige, is sexually awakened by her new roommate's advances in their dorm room.",False
