topic_id,label,keywords,primary_category,primary_weight,all_categories
24,Late-Night Text Messages,"rings, buzzes, pocket, screen, cellphone, nightstand, message, purse, phones, vibrates",P_tech_media,1.000000,P_tech_media(1.000)
25,Playful Laughter and Smiles,"smile, laugh, laughter, grin, burst, forced, lip, loud, goofy, cheeks",I_humor_lightness,1.000000,I_humor_lightness(1.000)
26,Nighttime Fun,"tonight, night, evening, nights, stand, nighttime, fun, different, best, middle",Z_noise_oog,1.000000,Z_noise_oog(1.000)
27,Navigating Spaces,"door, doors, car, stairs, purse, hall, button, elevators, lock, knob",S_scene_anchor,1.000000,S_scene_anchor(1.000)
28,Decision-Making Dilemmas,"complication, choice, guacamole, mind, things, matter, material, question, fact, invitation",Z_noise_oog,1.000000,Z_noise_oog(1.000)
29,Time Passes,"minutes, weeks, months, days, week, hours, years, month, seconds, hour",Z_noise_oog,1.000000,Z_noise_oog(1.000)
30,Sports Rivalry,"game, hockey, puck, players, games, player, teams, goalie, goal, baseball",Z_noise_oog,1.000000,Z_noise_oog(1.000)
31,Shopping for Love,"clothes, outfit, wardrobe, clothing, outfits, tomorrow, selling, different, fashion, compatible",O_appearance_aesthetics,1.000000,O_appearance_aesthetics(1.000)
32,Hesitant Interactions,"offense, say, answer, head, worries, intercourse, plans, word, question, hesitation",C_explicit,1.000000,C_explicit(1.000)
33,Corporate Ambition,"business, company, dollars, job, investment, cost, profit, paycheck, income, bank",K_work_corporate,0.500000,"K_work_corporate(0.500), D_luxury_wealth_status(0.500)"
34,Hunting Trip with Eclectic Attendees,"cards, archery, chips, shoulder, half, eclectic, direction, attendees, hunting, wary",S_scene_anchor,1.000000,S_scene_anchor(1.000)
35,"{ ""label"": ""Unspoken Tension","silent, beat, descends, awkward, moment, unspoken, minutes, uncomfortable, companionable, ride",S_scene_anchor,1.000000,S_scene_anchor(1.000)
36,Physical Altercation,"knees, feet, fists, arms, foot, shuffle, fist, sides, legs, heels",Z_noise_oog,1.000000,Z_noise_oog(1.000)
37,Absurd Characters and Situations,"ridiculous, insane, fool, dumbass, outrageous, assholes, insanity, idiots, stupidest, absurd",F_negative_affect,1.000000,F_negative_affect(1.000)
38,Intense Eye Contact,"gaze, glare, look, glance, expression, chin, eye, head, brows, moment",O_appearance_aesthetics,1.000000,O_appearance_aesthetics(1.000)
39,Intimate Kissing,"lip, teeth, nose, tongue, mouth, bridge, cheek, moan, lower, saliva",B_mutual_intimacy,1.000000,B_mutual_intimacy(1.000)
40,Workplace Drama and Misunderstandings,"job, upset, community, manager, awesome, weeks, friend, wrong, best, thing",K_work_corporate,0.500000,"K_work_corporate(0.500), Q_miscommunication(0.500)"
41,Picky Partner's Regret,"ready, heartless, ashamed, wrong, scared, picky, type, human, proud, cleaners",F_negative_affect,0.375000,"F_negative_affect(0.375), Q_miscommunication(0.375), S_scene_anchor(0.250)"
42,First Time Intimacy,"sexual, intimate, virginity, intimacy, sexuality, just, unprotected, meaningless, sexiest, thing",B_mutual_intimacy,1.000000,B_mutual_intimacy(1.000)
43,Preparing for Work,"ready, aware, prepared, research, reason, terminology, today, user, giver, work",K_work_corporate,1.000000,K_work_corporate(1.000)
44,Protective Stepmom,"stepmother, moms, motherhood, jackass, proud, children, ass, undivided, esteem, things",J_family_support,0.500000,"J_family_support(0.500), R1_protectiveness(0.500)"
45,Domestic Nesting and Toys,"thing, things, bearded, stuff, peace, best, point, growling, sample, toys",Z_noise_oog,1.000000,Z_noise_oog(1.000)
46,Flirtatious Glances and Attraction,"pickup, oaks, linemen, glance, scoundrel, gaze, attraction, glint, hand, biscuit",O_appearance_aesthetics,1.000000,O_appearance_aesthetics(1.000)
47,Beauty Routines and Allure,"hair, makeup, mascara, lipstick, nape, hairs, rises, bun, strand, neck",S_scene_anchor,1.000000,S_scene_anchor(1.000)
48,Calming Breaths in Stressful Moments,"breath, lungs, deep, breathing, breaths, air, catches, oxygen, shaky, calm",B_mutual_intimacy,1.000000,B_mutual_intimacy(1.000)
49,"{
  ""label"": ""New Parenthood and Babysitter""","babysitter, healthy, infant, months, outsiders, fetal, epidural, unprotected, inflated, coos",M_health_recovery,0.500000,"M_health_recovery(0.500), J_family_support(0.500)"
50,Careful Consideration,"idea, help, clue, mind, problem, thought, control, wrong, careful, reason",Q_miscommunication,0.750000,"Q_miscommunication(0.750), S_scene_anchor(0.250)"
51,Medical Crisis and Support,"clinic, tremulous, friend, sister, physician, results, unable, expression, wept, years",M_health_recovery,0.500000,"M_health_recovery(0.500), J_family_support(0.500)"
52,Unethical Nerd's Awkward Conquest,"event, masculine, unethical, nerd, plenty, graveled, problem, humorless, thought, conquer",I_humor_lightness,1.000000,I_humor_lightness(1.000)
53,Fashion Showcase,"dress, dresses, panties, skirt, lace, heels, gown, stilettos, blouse, underwear",O_appearance_aesthetics,1.000000,O_appearance_aesthetics(1.000)
54,Persistent Communication,"rang, message, screen, pocket, rings, texts, ear, ringing, numbers, voicemail",P_tech_media,1.000000,P_tech_media(1.000)
55,BDSM Relationship Dynamics,"gratification, means, course, world, dominatrix, pretenses, spc, thing, sexual, devices",C_explicit,0.500000,"C_explicit(0.500), P_tech_media(0.500)"
56,Sleep Deprivation and Nighttime Intimacy,"sleep, asleep, nap, hours, night, lack, tired, nights, hour, insomnia",F_negative_affect,1.000000,F_negative_affect(1.000)
57,Bathroom Intimacy,"shower, bathroom, bath, tub, toilet, bathtub, showers, restroom, spray, stall",H_domestic_nesting,1.000000,H_domestic_nesting(1.000)
58,Attractive Spectator,"stunning, attractive, sweeter, spectator, sweetness, ly, talented, wonderful, thing, aesthetic",O_appearance_aesthetics,1.000000,O_appearance_aesthetics(1.000)
59,Non-Verbal Communication,"smiles, replies, laughs, glares, mutters, widen, looks, listens, calls, stares",I_humor_lightness,0.333333,"I_humor_lightness(0.333), O_appearance_aesthetics(0.333), P_tech_media(0.333)"
60,Office Romance,"ceos, employee, bosses, board, company, manager, job, chief, rule, work",K_work_corporate,1.000000,K_work_corporate(1.000)
61,Apology and Forgiveness,"forgive, sorry, apology, forgiveness, apologies, things, need, rule, way, honeycomb",T_repair_apology,1.000000,T_repair_apology(1.000)
62,Careful Courtship: Learning and Deception,"months, chess, situation, careful, opposite, lessons, imposter, days, lie, month",Q_miscommunication,0.750000,"Q_miscommunication(0.750), S_scene_anchor(0.250)"
63,Deceptive Lovers,"lie, lies, deception, truths, outright, omission, total, consummate, cheater, faults",Q_miscommunication,1.000000,Q_miscommunication(1.000)
64,Murder Mystery Investigation,"questions, answers, murder, builds, request, door, hand, deal, course, robot",E_threat_danger,0.750000,"E_threat_danger(0.750), S_scene_anchor(0.250)"
65,Redemption and Correcting Past Mistakes,"correct, redemption, corrects, explosion, urn, equation, appearances, understatement, claims, phrase",O_appearance_aesthetics,1.000000,O_appearance_aesthetics(1.000)
66,Uncomfortable Encounters,"giggled, friend, breath, buckles, numb, moan, vulgar, sickening, bluff, alternative",B_mutual_intimacy,1.000000,B_mutual_intimacy(1.000)
67,Married Couple's Affectionate Moments,"nods, tenses, looks, stares, sister, smiles, rosy, married, aisle, happiness",I_humor_lightness,0.250000,"I_humor_lightness(0.250), O_appearance_aesthetics(0.250), J_family_support(0.250), A_commitment_hea(0.250)"
68,Historical Romance: Grand Estates,"percent, scale, fourth, century, grand, seventh, knocks, fifth, pounds, ninth",Z_noise_oog,1.000000,Z_noise_oog(1.000)
69,Physical Pain and Guilt,"hurts, guilt, painful, painkillers, guilty, injury, agony, ache, physical, gut",M_health_recovery,0.500000,"M_health_recovery(0.500), F_negative_affect(0.500)"
70,Rescuing Hairless Kittens,"kittens, delivery, purr, claws, hairless, cheshire, lap, pasty, paw, rescue",Z_noise_oog,1.000000,Z_noise_oog(1.000)
71,Ringing Cellphone,"pocket, cellphone, rang, screen, message, ringing, jacket, rings, table, button",P_tech_media,1.000000,P_tech_media(1.000)
72,Corporate Hockey Rivalry,"hockey, game, bankers, router, corporate, general, offer, box, division, checkpoint",K_work_corporate,1.000000,K_work_corporate(1.000)
73,Rare Love in Desolate Places,"rarity, desolate, special, happiness, insane, superficial, acquaintances, comment, emotions, devotion",Z_noise_oog,1.000000,Z_noise_oog(1.000)
74,Sports Romance,"fact, second, amazed, night, years, eyebrows, game, stunned, feeling, stadium",O_appearance_aesthetics,1.000000,O_appearance_aesthetics(1.000)
75,Intimate Spaces,"bed, bedroom, couch, sheets, sofa, covers, pillows, mattress, edge, room",H_domestic_nesting,1.000000,H_domestic_nesting(1.000)
76,Whispered Secrets and Intimate Promises,"whisper, murmur, whispers, breathy, meek, sacred, lavender, steam, disaster, prick",B_mutual_intimacy,1.000000,B_mutual_intimacy(1.000)
77,Deliberating Couple,"tone, plans, puzzled, question, matter, decision, today, paperwork, concern, flourish",K_work_corporate,1.000000,K_work_corporate(1.000)
78,Engaged Couple's Tender Moments,"cups, gaze, brushing, arm, expression, engagement, hand, grabs, tightens, bellamy",O_appearance_aesthetics,0.333333,"O_appearance_aesthetics(0.333), B_mutual_intimacy(0.333), A_commitment_hea(0.333)"
79,Emotional Grandmother's Reaction,"rule, grandmother, cries, wide, saucers, moment, personality, mutters, chairs, awesome",J_family_support,1.000000,J_family_support(1.000)
80,Sports Romance: Hockey Players and Office Lovesick,"hockey, players, goalie, scrum, offs, reminders, millionth, office, lovesick, degree",K_work_corporate,1.000000,K_work_corporate(1.000)
81,Family Gathering,"parents, children, kids, families, aunts, uncles, want, parenting, traditional, cousins",J_family_support,1.000000,J_family_support(1.000)
82,Heroine's Fears and Anxieties,"scared, afraid, sad, terrifying, scary, frightening, frightened, fears, sadness, phobia",F_negative_affect,0.750000,"F_negative_affect(0.750), S_scene_anchor(0.250)"
83,Animal Companions,"goats, dogs, animal, puppies, animals, sheep, pet, lion, pets, herd",Z_noise_oog,1.000000,Z_noise_oog(1.000)
84,Narcissistic Drama in Marriage,"behavior, narcissistic, drama, seminar, afraid, marriage, lack, times, gun, explosion",E_threat_danger,0.500000,"E_threat_danger(0.500), A_commitment_hea(0.500)"
85,Sports Competition and Triumph,"course, honest, snatchers, finalists, victories, yesss, glorified, best, bum, coulda",Z_noise_oog,1.000000,Z_noise_oog(1.000)
86,Apartment Hunting,"rent, lease, city, rental, monthly, landlord, week, yorker, space, month",N_separation_reunion,1.000000,N_separation_reunion(1.000)
87,Unwanted Attention in the Dating World,"caveman, league, unfulfilled, unsolicited, detectives, inner, unmade, celibate, course, escort",Z_noise_oog,1.000000,Z_noise_oog(1.000)
88,Apologetic Performance Review,"performance, sorry, train, memo, today, opportunity, anniversaries, perfection, realms, tartare",T_repair_apology,1.000000,T_repair_apology(1.000)
89,Dark Methods of Survival,"hate, dislike, method, survival, perverse, word, person, things, particular, uniform",E_threat_danger,1.000000,E_threat_danger(1.000)
90,Medical Professionals and Hospital Scenes,"hospital, surgeon, surgery, doctors, trauma, medical, appointment, clinic, operating, specialist",M_health_recovery,1.000000,M_health_recovery(1.000)
91,Repressed Memories,"memories, memory, childhood, vivid, ones, flashback, repressed, years, newer, events",Z_noise_oog,1.000000,Z_noise_oog(1.000)
92,Cozy Home Interior,"furniture, fireplace, ceiling, windows, chairs, floors, wood, walls, floor, ceilings",H_domestic_nesting,1.000000,H_domestic_nesting(1.000)
93,Family Feuds and Heartfelt Apologies,"parents, apologies, sister, ex, brogue, woozy, daughter, shameless, fault, acquisition",T_repair_apology,0.333333,"T_repair_apology(0.333), F_negative_affect(0.333), J_family_support(0.333)"
94,Angry Outbursts,"anger, rage, blood, frustration, temper, veins, stomach, laces, guts, flares",F_negative_affect,1.000000,F_negative_affect(1.000)
95,Workaholic Boss's Evening Routine,"worlds, spending, personal, client, fib, work, trauma, tyrant, evening, best",M_health_recovery,0.500000,"M_health_recovery(0.500), K_work_corporate(0.500)"
96,Whispered Promises,"whispers, whisper, ear, plea, soft, someday, husky, blessed, low, breathy",B_mutual_intimacy,1.000000,B_mutual_intimacy(1.000)
97,Eyes Fluttering in Love,"closed, eyelids, shut, sockets, vision, flutter, eyeballs, wide, surroundings, accord",Z_noise_oog,1.000000,Z_noise_oog(1.000)
98,Engagement Announcement and Parental Concerns,"engagement, pudding, granite, parents, warning, conversation, ugliest, pickles, shards, topic",J_family_support,0.500000,"J_family_support(0.500), A_commitment_hea(0.500)"
99,Desirable Vices and Regrets,"vacuum, mezcal, pangs, turd, unfiltered, desirable, understandable, yesterday, apparent, wishes",Z_noise_oog,1.000000,Z_noise_oog(1.000)
100,Romantic Gestures with Flowers,"roses, flowers, bouquet, florist, petals, yellow, lilies, vase, daisies, dozen",G_rituals_gifts,0.500000,"G_rituals_gifts(0.500), A_commitment_hea(0.500)"
101,Witty Writer's Love Letters,"library, letters, kleenex, writer, sister, comebacks, acerbic, bit, pert, tragic",I_humor_lightness,0.500000,"I_humor_lightness(0.500), J_family_support(0.500)"
102,Tense Hair Tugging,"hair, strands, grip, strand, handful, hand, threads, tugs, grabs, lock",O_appearance_aesthetics,1.000000,O_appearance_aesthetics(1.000)
103,Explicit Intimacy,"nude, nudes, nakedness, stark, wet, half, alleged, bed, body, clothes",H_domestic_nesting,0.500000,"H_domestic_nesting(0.500), O_appearance_aesthetics(0.500)"
104,Sustainable Living with Family,"pigeon, helpful, sustainable, excited, cork, answers, indecent, pitiful, chimes, sister",J_family_support,1.000000,J_family_support(1.000)
105,Urban Exploration and Spontaneous Dates,"hurry, pro, trade, location, places, place, tripping, rule, area, popcorn",Z_noise_oog,1.000000,Z_noise_oog(1.000)
106,Simple Nighttime Routine,"lines, easy, understandable, item, idea, night",Z_noise_oog,1.000000,Z_noise_oog(1.000)
107,Debating the Meaning of Love,"matter, sense, true, work, pundits, case, difference, failure, alert, reason",K_work_corporate,1.000000,K_work_corporate(1.000)
108,Eternal Love and Commitment,"fall, true, fickle, kind, loves, souls, epic, significant, important, thing",A_commitment_hea,1.000000,A_commitment_hea(1.000)
109,Eligible Millionaire,"wealthy, richest, millionaire, eligible, wealthiest, wealth, world, businessman, male, dollar",K_work_corporate,0.500000,"K_work_corporate(0.500), D_luxury_wealth_status(0.500)"
110,Confused Lover's Apology,"listening, reply, feverish, confusion, mort, upfront, pun, pep, unblinking, angrier",M_health_recovery,0.500000,"M_health_recovery(0.500), T_repair_apology(0.500)"
111,Disturbing Dreams and Fantasies,"dreams, nightmare, dreaming, nightmares, true, worst, vivid, fantasies, pipe, dreamy",F_negative_affect,1.000000,F_negative_affect(1.000)
112,Snowy Weather,"rain, winter, wet, chilly, icy, flakes, colder, glacier, sky, snowy",Z_noise_oog,1.000000,Z_noise_oog(1.000)
113,"{ ""label"": ""Determined Sister's","drugs, curious, sister, sad, determined, skinny, incidents, clean, cigarette, tabloid",F_negative_affect,0.333333,"F_negative_affect(0.333), J_family_support(0.333), P_tech_media(0.333)"
114,Reluctant Proposal,"choices, deter, reluctance, ideal, brief, assistants, gut, expectations, speech, approval",A_commitment_hea,1.000000,A_commitment_hea(1.000)
115,Celebrity Golf Weekend,"golf, years, talk, winced, celebrity, thoughtful, instigator, break, weekend, problems",Z_noise_oog,1.000000,Z_noise_oog(1.000)
116,Marriage of Convenience,"important, condition, second, ways, dependent, thing, word, arrangement, imposter, relatable",A_commitment_hea,1.000000,A_commitment_hea(1.000)
117,Constant Criticism,"hate, dislike, hatred, gravity, guts, mention, constant, rhubarb, shucks, capable",Z_noise_oog,1.000000,Z_noise_oog(1.000)
118,Public Relations and Image Management,"publicity, knows, forthcoming, deal, position, impression, board, antics, nation, turn",K_work_corporate,1.000000,K_work_corporate(1.000)
119,Flirtatious Communication and Body Language,"snaps, replies, epitome, runners, whispers, barks, potion, unapologetic, gestures, smiles",I_humor_lightness,0.333333,"I_humor_lightness(0.333), B_mutual_intimacy(0.333), P_tech_media(0.333)"
120,Inability to Express Love,"string, parts, unable, word",Z_noise_oog,1.000000,Z_noise_oog(1.000)
121,Smooth Travel Planning,"better, easier, smoother, sakes, option, ideal, worlds, pair, trips, convenient",Z_noise_oog,1.000000,Z_noise_oog(1.000)
122,Dangerous Informant Mission,"mission, information, informant, descriptions, friend, fight, poetry, gun, contracts, conscience",F_negative_affect,0.500000,"F_negative_affect(0.500), E_threat_danger(0.500)"
123,Law Enforcement and Protection,"police, cops, guard, cop, ambulance, guards, paramedics, station, officers, uniform",K_work_corporate,0.333333,"K_work_corporate(0.333), E_threat_danger(0.333), R1_protectiveness(0.333)"
124,Surprise Engagement,"engagement, stunt, instances, cheeks, ex, flushed, parents, surprise, weakness, relationship",J_family_support,0.500000,"J_family_support(0.500), A_commitment_hea(0.500)"
125,Air Travel,"flight, plane, jet, airport, helicopter, pilot, runway, airline, planes, airplane",S_scene_anchor,1.000000,S_scene_anchor(1.000)
126,"{ ""label"": ""Sarcastic Rivalry","jackass, hog, sardonic, shot, loyal, glance, brows, unqualified, boat, effect",O_appearance_aesthetics,0.750000,"O_appearance_aesthetics(0.750), S_scene_anchor(0.250)"
127,Emotional Turmoil,"panic, emotions, emotional, attack, attacks, hysteria, unease, excited, dread, sadness",F_negative_affect,1.000000,F_negative_affect(1.000)
128,Simple Tasks and Comparisons,"easy, simple, straightforward, peasy, natural, easiest, comparison, target, task, introductory",Z_noise_oog,1.000000,Z_noise_oog(1.000)
129,Condom Management,"condom, condoms, wrapper, packet, wallet, nightstand, expired, drawer, pocket, package",C_explicit,1.000000,C_explicit(1.000)
130,Reluctant Suitor's Persuasion,"prospect, unconvinced, news, stamina, sister, burden, idea, whispery, question, insane",J_family_support,1.000000,J_family_support(1.000)
131,Intimate Confessions and Protective Bodyguards,"grunts, tenses, inhales, values, honesty, pleads, morals, merger, joined, bodyguards",R1_protectiveness,1.000000,R1_protectiveness(1.000)
133,Erotic Breast Play,"nipple, nipples, breasts, breast, cups, thumbs, tongue, thumb, mouth, hardened",C_explicit,1.000000,C_explicit(1.000)
134,Curious Crush on Campus Philanthropist,"necks, curious, breakthroughs, campus, crush, sister, philanthropist, demeanor, friendly, debt",J_family_support,1.000000,J_family_support(1.000)
135,Beachside Romance,"sun, sky, beach, clouds, horizon, sand, ocean, sunset, orange, sea",S_scene_anchor,1.000000,S_scene_anchor(1.000)
136,Exciting Diversions with Guys,"fun, excited, excitement, entertaining, uncomplicated, diversion, thrill, stressful, lot, guys",Z_noise_oog,1.000000,Z_noise_oog(1.000)
137,Public Figure's Love Life,"offspring, protocol, publicist, understandable, qualified, apparent, blessed, busy, circumstances, generous",Z_noise_oog,1.000000,Z_noise_oog(1.000)
138,Sports and Games in Romance,"sailors, archery, cards, tapes, arrows, broccoli, pact, olympics, feisty, trainer",S_scene_anchor,1.000000,S_scene_anchor(1.000)
139,Nervous Public Speaking,"brass, stammers, weakly, problem, questions, ibits, gum, course, commands, standard",Z_noise_oog,1.000000,Z_noise_oog(1.000)
140,Awkward Office Interactions,"stammers, stares, statements, peas, dirt, coffin, mail, older, cheeky, memo",K_work_corporate,1.000000,K_work_corporate(1.000)
141,Urgent Pursuit,rush,Z_noise_oog,1.000000,Z_noise_oog(1.000)
142,Kitchen Nesting,"kitchen, fridge, cabinets, appliances, counter, stainless, countertops, dishes, kitchens, dishwasher",H_domestic_nesting,0.500000,"H_domestic_nesting(0.500), D_luxury_wealth_status(0.500)"
143,Small Talk and Messaging,"conversation, talk, conversations, discussion, particulars, simple, lot, messaging, pep, small",Z_noise_oog,1.000000,Z_noise_oog(1.000)
144,Navigating Dating Dilemmas,"dates, official, service, apps, dilemma, calendar, strings, narcissists, histories, inconsistencies",Z_noise_oog,1.000000,Z_noise_oog(1.000)
145,Revolutionary Romance: Supplication and Purpose,"course, options, supplication, revolutionary, adversary, individuals, purpose, country, era, champ",Z_noise_oog,1.000000,Z_noise_oog(1.000)
146,Cozy Bedtime Intimacy,"bed, mattress, bedroom, sheets, covers, edge, blankets, pillow, blanket, legs",H_domestic_nesting,0.500000,"H_domestic_nesting(0.500), B_mutual_intimacy(0.500)"
147,Fortunate in Love,"luck, luckiest, perfection, fortunate, fit, solution, unlucky, today, miracle, immaculate",Z_noise_oog,1.000000,Z_noise_oog(1.000)
148,Holiday Celebrations,"holiday, parties, holidays, presents, christmases, celebration, gala, decorations, victorian, annual",G_rituals_gifts,1.000000,G_rituals_gifts(1.000)
149,Disappointed Colleagues,"manager, recall, buddies, frowned, gathering, dejected, moment, gem, friend, distraction",K_work_corporate,0.500000,"K_work_corporate(0.500), P_tech_media(0.500)"
150,Dramatic Deflections in Skincare Industry,"industries, fault, dramatic, skincare, type, detour, crap, flashback, statement, deflect",S_scene_anchor,1.000000,S_scene_anchor(1.000)
151,Business Negotiations,"talk, trickle, technique, deal, strategy, cool, auction, straight, hypotheticals, aids",K_work_corporate,0.500000,"K_work_corporate(0.500), P_tech_media(0.500)"
152,Unsure Glances at the Market,"gaze, hesitates, grandmother, stares, market, glances, moment, photo, hint, mere",J_family_support,0.500000,"J_family_support(0.500), O_appearance_aesthetics(0.500)"
153,Unusual Situations,"odd, confusing, complicated, weirdest, surprising, strangest, peculiar, bizarre, ironic, thing",Z_noise_oog,1.000000,Z_noise_oog(1.000)
154,Unplanned Pregnancy,"pregnancy, test, unplanned, weeks, months, birth, conception, injection, childbirth, maternity",J_family_support,1.000000,J_family_support(1.000)
155,Whispered Intimacy and Fear,"whispers, whisper, ear, husky, frightened, breath, iud, cellulite, handset, knuckles",F_negative_affect,0.500000,"F_negative_affect(0.500), B_mutual_intimacy(0.500)"
156,Trust Issues and Instincts,"trust, trustworthy, issues, able, instincts, circle, gut, web, means, anchor",Z_noise_oog,1.000000,Z_noise_oog(1.000)
157,Unexpected Barroom Encounter,"segue, wordless, sudden, workshop, memo, tousled, days, moment, warmth, barroom",K_work_corporate,0.750000,"K_work_corporate(0.750), S_scene_anchor(0.250)"
158,Unexpected Reunion in the Hamptons,"truffle, jaw, comeback, weirdest, asap, road, unblinking, look, breathless, hamptons",N_separation_reunion,0.500000,"N_separation_reunion(0.500), A_commitment_hea(0.500)"
159,Nervous Proposal,"plea, innings, response, hesitation, awesome, chimes, colorful, kids, nod, things",J_family_support,0.500000,"J_family_support(0.500), A_commitment_hea(0.500)"
160,Anxious Anticipation,"tears, panic, cheeks, stomach, tear, hips, belly, unshed, shivers, corners",F_negative_affect,1.000000,F_negative_affect(1.000)
161,Admiring the Leading Man,"actor, nicest, qualities, intelligent, excellent, best, lot, breakthroughs, brilliant, lad",Z_noise_oog,1.000000,Z_noise_oog(1.000)
162,Descriptive Fashion and Intimacy,"skirt, dress, breasts, nipples, curves, fabric, panties, lace, blouse, thigh",C_explicit,0.500000,"C_explicit(0.500), O_appearance_aesthetics(0.500)"
163,Redemption and Second Chances,"redemption, contemporary, blur, favorite, alleged, orgies, inch, duckling, duchess, fodder",Z_noise_oog,1.000000,Z_noise_oog(1.000)
164,Electric Moments of Connection,"gazes, moment, air, swirls, crackles, connection, connected, glance, bodies, glances",O_appearance_aesthetics,1.000000,O_appearance_aesthetics(1.000)
165,Hushed Whispers and Breaking Voices,"cracks, muffled, murmur, shaky, soft, sound, louder, breaks, low, huskier",B_mutual_intimacy,1.000000,B_mutual_intimacy(1.000)
166,Angry Confrontation in the Bathroom,"yell, shouting, exasperation, sirens, anger, ambulance, catnap, counterpart, bathroom, undiluted",H_domestic_nesting,0.500000,"H_domestic_nesting(0.500), F_negative_affect(0.500)"
167,Intense Sexual Pleasure,"orgasms, climax, rips, orgasmic, body, intense, wave, pulses, pleasure, waves",C_explicit,1.000000,C_explicit(1.000)
168,Relationship Transformation,"change, changes, mind, topic, things, subject, dynamics, transformation, priorities, chop",Z_noise_oog,1.000000,Z_noise_oog(1.000)
169,High-Stakes Temptation,"risky, stake, low, risk, responsibility, temptation, expensive, busy, squabbling, toodles",D_luxury_wealth_status,1.000000,D_luxury_wealth_status(1.000)
170,Reluctant Admissions,"winces, thanks, noon, analogies, prudish, nevermind, skills, actuality, nother, recreational",Z_noise_oog,1.000000,Z_noise_oog(1.000)
171,Intimate Bedtime,"bed, mattress, bedroom, edge, covers, pillow, comforter, dips, legs, arms",H_domestic_nesting,1.000000,H_domestic_nesting(1.000)
172,Unconventional Love: Stalker's Obsession,"unrecognizable, exception, rational, creative, fraction, sweep, stalker, collection, definitions, silkiness",E_threat_danger,1.000000,E_threat_danger(1.000)
