topic_id,label,keywords,scene_summary,label_is_noise,taxonomy_main_group,taxonomy_main_name,taxonomy_confidence,taxonomy_is_noise,taxonomy_secondary_group,taxonomy_secondary_name,radway_phase_name,radway_phase,radway_main_name,radway_confidence,radway_is_none,gate3_pass,mapping_notes,is_other,is_paratext,is_unmapped,is_low_coverage,is_author_dominant_high,is_author_dominant_med
10,Knocking On Door,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",Someone hesitates before knocking on a door in a hallway.,False,"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
11,Wine Tasting At Dinner,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food","The couple sits at a dinner table, sipping wine and waiting for their food.",False,"Spaces, Time, Activities & Objects",Public & Leisure Spaces,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
12,Tender Forehead Kisses,"kisses, kissed, tongue, mouth, cheek, neck, leans, lip, licks, soft","He tenderly kisses her forehead, leaning in with soft lips.",False,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,high,False,,,Turning Point & Recognition,II,Hero treats heroine tenderly,medium,False,False,,False,False,False,False,False,False
13,Playful Laughter And Smiles,"smiled, smile, smiles, laugh, laughs, laughed, grinned, grin, eyebrows, giggles",The couple shares playful laughter and smiles while looking at each other.,False,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,high,False,,,Turning Point & Recognition,II,Hero treats heroine tenderly,high,False,False,,False,False,False,False,False,False
14,Playful Smiling Interactions,"smile, smiles, grin, smiled, laugh, grinned, grins, laughed, laughs, smirked",The couple exchanges playful smiles and laughter while interacting.,False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",high,False,,,Turning Point & Recognition,II,Heroine responds warmly to hero's tenderness,high,False,False,,False,False,False,False,False,False
15,Clitoral Stimulation During Foreplay,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, pulls",He rubs her clit with his hand while they make out in the elevator.,False,"Sexuality, Attraction & Intimacy",Explicit Sexual Acts,high,False,,,Commitment & Restoration,III,Heroine responds sexually and emotionally,high,False,False,,False,False,False,False,False,False
16,Intergenerational Family Bonding,"fathera, parents, died, dada, older, fathers, children, kids, grandson, hea","The youngest grandson sits with his older uncles, reminiscing about their fathers' shared history.",False,Social World Outside Couple,Family & Kinship,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
17,17____,", , , , , , , , , ",,,,,,False,,,,NA,,,False,False,,False,False,True,False,False,False
18,18____,", , , , , , , , , ",,,,,,False,,,,NA,,,False,False,,False,False,True,False,False,False
19,Adrenaline-fueled game,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, beating",She feels her heart race and stomach flutter as he traces her veins with his fingers during intense foreplay.,False,"Sexuality, Attraction & Intimacy",Explicit Sexual Acts,high,False,,,Commitment & Restoration,III,Heroine responds sexually and emotionally,high,False,False,,False,False,False,False,False,False
20,Eye Contact And Staring,"gaze, stare, staring, looks, stares, look, stared, glares, glances, looked","The couple's gazes meet and hold, their expressions intense.",False,"Sexuality, Attraction & Intimacy",Attraction & Sexual Tension,high,False,,,Initial Conflict & Isolation,I,Heroine interprets hero's behaviour as purely sexual interest,medium,False,False,,False,False,False,False,False,False
21,Parked Car Makeout,"car, driver, limo, parked, parking, cars, driveway, suv, curb, cab","The couple, parked in his car, engages in passionate kissing.",False,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,high,False,"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,Turning Point & Recognition,II,Hero treats heroine tenderly,low,False,False,,False,False,False,False,False,False
22,Resisting Temptation,"didna, couldna, wasna, hadna, wouldna, control, fucked, want, expecting, anymore","She struggles with her desire, trying to make the right choice.",False,"Emotions, Cognition & Inner Life",Ambivalence & Internal Conflict,high,False,,,Initial Conflict & Isolation,I,Heroine responds with anger or coldness,medium,False,False,,False,False,False,False,False,False
23,Board Game Around Table,"reesea, merinaa, gwynetha, taga, board, hadna, gave, told, cadea, wasna","The couple sits around a table, playing a board game, their hands occasionally touching.",False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",high,False,"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,Turning Point & Recognition,II,Hero treats heroine tenderly,medium,False,False,,False,False,False,False,False,False
24,Phone Notifications During Night,"rings, buzzes, pocket, rang, screen, cellphone, nightstand, ringing, message, purse","She's about to fall asleep when her phone buzzes on the nightstand, lighting up the screen with an incoming message.",False,"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
25,Playful Laughter And Smiles,"smile, laugh, laughter, grin, smiled, grinned, burst, laughed, chuckled, force",The couple shares playful laughter and smiles while interacting.,False,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,high,False,,,Turning Point & Recognition,II,Heroine responds warmly to hero's tenderness,low,False,False,,False,False,False,False,False,False
26,Nighttime Fun Planning,"tonight, night, evening, nights, stand, saturday, happened, tonighta, nighttime, nighta",The couple discusses and plans their evening activities during the night.,False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",high,False,"Spaces, Time, Activities & Objects","Time, Seasons & Temporal Framing",Turning Point & Recognition,II,Hero treats heroine tenderly,low,False,False,,False,False,False,False,False,False
27,Exiting Through Doorways,"door, doors, opened, car, stairs, shut, stepped, purse, headed, walked","She opened the door and stepped out into the hallway, leaving him behind in the car.",False,"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
28,Unclear Feelings Conversation,"dona, want, say, need, think, talk, really, anymore, anybody, flatter","The couple sits at a table, struggling to express their feelings.",False,Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",medium,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
29,Time Perception Distortion,"minutes, weeks, months, days, week, hours, years, month, seconds, hour","She felt like hours had passed, but it was only minutes.",False,"Emotions, Cognition & Inner Life",Positive Emotions & Security,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
30,Hockey Game Action,"game, hockey, puck, players, games, play, player, teams, goalie, goal","The couple watches a hockey game, focusing on the players and the puck.",False,"Spaces, Time, Activities & Objects",Public & Leisure Spaces,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
31,Clothing Shopping Together,"wea, wear, clothes, outfit, wearing, going, wardrobe, worn, clothing, doing","The couple browses clothing racks, trying on outfits and discussing their choices.",False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",medium,False,"Spaces, Time, Activities & Objects",Public & Leisure Spaces,Turning Point & Recognition,II,Hero treats heroine tenderly,medium,False,False,,False,False,False,False,False,False
32,Argument About Saying No,"firmly, offense, answered, youa, say, flatly, problem, replied, saying, wona",She argues with him about not having a say in the matter.,False,Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",high,False,,,Initial Conflict & Isolation,I,Heroine reacts antagonistically to the hero,high,False,False,,False,False,False,False,False,False
33,Business Discussion,"business, company, dollars, pay, job, million, thousand, paid, investment, cost",The couple discusses business matters at the dinner table.,False,"Work, Wealth, Status & Institutions",Hero's Elite Work & Business World,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
34,Archery Hunting,"huntera, cards, california, glanced, archery, turned, chips, shoulder, gritted, threw","The couple, wary of each other, engages in a game of archery at a hunting event.",False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",high,False,"Spaces, Time, Activities & Objects",Public & Leisure Spaces,Turning Point & Recognition,II,Heroine responds warmly to hero's tenderness,low,False,False,,False,False,False,False,False,False
35,Silent Ride Together,"silent, fell, remained, beat, stays, descends, awkward, stretched, stretches, moment","The couple sits silently together in a car, each lost in their own thoughts.",False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",high,False,,,Initial Conflict & Isolation,I,Heroine responds with anger or coldness,low,False,False,,False,False,False,False,False,False
36,Kneeling For Intimacy,"knees, feet, fists, arms, foot, fold, shuffle, fist, shoe, sides","She kneels in front of him, her hands on his knees, looking up at him.",False,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,high,False,,,Turning Point & Recognition,II,Hero treats heroine tenderly,medium,False,False,,False,False,False,False,False,False
37,Insane Arguments,"ridiculous, insane, bullshit, fool, dumbass, outrageous, assholes, insanity, idiots, stupidest","The couple, exasperated, argues ridiculously in the kitchen.",False,Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",high,False,"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
38,Eye Contact And Staring,"looks, gaze, stares, glare, stare, look, glances, looked, glanced, staring","She stares up at him, holding his gaze, as he looks down at her.",False,"Sexuality, Attraction & Intimacy",Attraction & Sexual Tension,high,False,,,Initial Conflict & Isolation,I,Heroine interprets hero's behaviour as purely sexual interest,medium,False,False,,False,False,False,False,False,False
39,Lip Biting During Intimacy,"lip, bite, teeth, nose, tongue, mouth, bridge, grit, lick, chew",She bites her lower lip as he leans in for a kiss.,False,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,high,False,,,Turning Point & Recognition,II,Hero treats heroine tenderly,medium,False,False,,False,False,False,False,False,False
40,Upset About Job,"loves, doesna, needs, says, miaa, wants, left, likes, lot, job","She struggles with her feelings about her job, confiding in a friend.",False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,medium,False,,,Initial Conflict & Isolation,I,Heroine reacts antagonistically to the hero,low,False,False,,False,False,False,False,False,False
41,Confused About Feelings,"ia, used, going, complaining, anymore, ready, heartless, ashamed, wrong, doing","She sits alone, confused about her feelings for him.",False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,high,False,,,Initial Conflict & Isolation,I,Heroine reacts antagonistically to the hero,medium,False,False,,False,False,False,False,False,False
42,Exploring Virginity,"sexual, intimate, virginity, intimacy, having, sexually, blowing, sexa, sexuality, just",She tentatively explores her virginity with him.,False,"Sexuality, Attraction & Intimacy",Explicit Sexual Acts,high,False,,,Commitment & Restoration,III,Heroine responds sexually and emotionally,high,False,False,,False,False,False,False,False,False
43,Ready For Action,"ia, going, working, ready, doing, supposed, aware, prepared, oversee, trying",The user is prepared and eager for a specific task or event.,False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",medium,False,,,Turning Point & Recognition,II,Hero treats heroine tenderly,low,False,False,,False,False,False,False,False,False
44,Mother-player Relationship Struggles,"mothera, moma, stepmother, died, mamaa, moms, motherhood, telling, tell, traumatizing",the player struggles with his mother's expectations and emotional state in their home.,False,Social World Outside Couple,Family & Kinship,high,False,Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
45,Wanting Something,"want, need, wanted, needed, thata, exactly, isna, wanting, tell, just","She wants something, expressing her desire.",False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,medium,False,,,Initial Conflict & Isolation,I,Heroine interprets hero's behaviour as purely sexual interest,low,False,False,,False,False,False,False,False,False
46,Attraction At First Glance,"didn, hardya, wasn, murmured, looked, pickup, wondered, couldn, heard, gave","She notices him across the room, their eyes meeting briefly before she looks away, feeling a spark of attraction.",False,"Sexuality, Attraction & Intimacy",Attraction & Sexual Tension,high,False,,,Initial Conflict & Isolation,I,Heroine interprets hero's behaviour as purely sexual interest,medium,False,False,,False,False,False,False,False,False
47,Hair And Neck game,"hair, makeup, mascara, lipstick, drag, nape, hairs, rises, bun, strand",He gently runs his fingers through her hair and kisses her neck.,False,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,high,False,,,Turning Point & Recognition,II,Hero treats heroine tenderly,low,False,False,,False,False,False,False,False,False
48,Deep Breaths During Emotional Moment,"breath, lungs, deep, exhale, inhale, breathing, exhaled, breaths, heavily, air",She takes deep breaths to calm herself during an emotional moment.,False,"Emotions, Cognition & Inner Life",Positive Emotions & Security,high,False,,,Turning Point & Recognition,II,Hero treats heroine tenderly,low,False,False,,False,False,False,False,False,False
49,Hiring A Babysitter,"babysitter, babya, born, babysit, healthy, having, want, infant, raise, youa",She realizes she needs a babysitter for her infant.,False,Social World Outside Couple,Friends & Social Circles,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
50,Unclear Relationship Feelings,"didna, didn, wasna, wouldna, couldna, hadna, wasn, couldn, idea, hadn","The couple sits in the car, struggling to express their uncertain emotions.",False,Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",medium,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
51,Emotional Support At Clinic,"maddiea, sama, karaa, clinic, answered, didn, tremulous, couldn, friend, sighed","She sat trembling in the clinic, her sister beside her, as they awaited the physician's results.",False,Social World Outside Couple,Friends & Social Circles,high,False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
52,Unclear Relationship Feelings,"sama, www, didn, event, mocking, muttered, answered, masculine, shattering, unethical","He wanted to understand everything about her, but her past caught up with them at home.",False,Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",medium,False,"Emotions, Cognition & Inner Life",Ambivalence & Internal Conflict,Initial Conflict & Isolation,I,Hero responds ambiguously to heroine,medium,False,False,,False,False,False,False,False,False
53,Dress Shopping Together,"dress, dresses, panties, skirt, lace, heels, gown, wearing, wear, stilettos",She tries on various dresses while he waits patiently in the fitting room.,False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",high,False,,,Turning Point & Recognition,II,Heroine responds warmly to hero's tenderness,low,False,False,,False,False,False,False,False,False
54,Phone Ringing And Answering,"rang, dialed, message, texted, screen, picked, pocket, texting, checked, rings","The phone rings, and someone picks it up.",False,"Spaces, Time, Activities & Objects",Public & Leisure Spaces,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
55,Dominatrix Session,"wants, want, knows, needs, need, hera, needed, teach, ita, likes","A dominatrix guides her client through a BDSM session, focusing on her desires and means of gratification.",False,"Sexuality, Attraction & Intimacy",Explicit Sexual Acts,high,False,"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,Commitment & Restoration,III,Heroine responds sexually and emotionally,high,False,False,,False,False,False,False,False,False
56,Sleep Deprivation,"sleep, asleep, slept, nap, hours, wake, night, woke, nighta, fall","She tosses and turns, unable to find rest in the quiet bedroom.",False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
57,Shower Hygiene,"shower, bathroom, bath, tub, toilet, bathtub, showers, restroom, showering, showered","The couple heads into the bathroom, with one of them taking a shower.",False,"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
58,Compliments And Flirting,"look, youa, stunning, seen, attractive, sweeter, breathtakingly, absolutely, utterly, looks",She receives compliments about her appearance from him.,False,"Sexuality, Attraction & Intimacy",Attraction & Sexual Tension,high,False,,,Initial Conflict & Isolation,I,Heroine interprets hero's behaviour as purely sexual interest,high,False,False,,False,False,False,False,False,False
59,Silent Staring Conversation,"tristana, smiles, replies, broadly, laughs, puts, glares, mutters, harrya, asks","The couple sits silently, staring at each other, trying to read each other's expressions.",False,Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",medium,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
60,Boss's Boss Interaction,"bossa, ceos, employee, bosses, board, company, manager, job, hea, youa",The employee interacts with their boss's boss in a professional setting.,False,"Work, Wealth, Status & Institutions",Hero's Elite Work & Business World,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
61,Apology And Forgiveness,"apologize, forgive, sorry, apology, apologized, apologizing, forgiveness, forgiven, apologies, profusely","She apologizes for her mistake, and he forgives her, leading to a moment of emotional connection.",False,Relationship Trajectory (Main Couple),"Reconciliation, Commitments & HEA",high,False,"Emotions, Cognition & Inner Life",Positive Emotions & Security,Turning Point & Recognition,II,Heroine reinterprets hero's behaviour as result of previous hurt,medium,False,False,,False,False,False,False,False,False
62,Months Of Careful Lies,"josha, declana, woulda, didna, months, med, frienda, chess, situation, careful","He carefully lies about his past, trying to hide his true self from her.",False,Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",high,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
63,Deceptive Relationship,"lie, lied, lying, lies, deception, truths, outright, omission, liara, believe","She lies to him about her whereabouts, trying to hide her true feelings.",False,Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",high,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
64,Doorway Questions And Answers,"huxleya, says, asks, lottiea, secure, questions, jpa, davea, glance, stands","The couple pauses at the door, asking and answering questions before moving on.",False,Relationship Trajectory (Main Couple),"Meeting, First Impressions & Setup",high,False,,,Initial Conflict & Isolation,I,Heroine's social identity is destroyed,low,False,False,,False,False,False,False,False,False
65,Apologetic Excuse Me,"excuse, aye, alright, look, ew, excellent, bye, called, lottiea, buta","She hesitates, then says 'excuse me' in a soft, uncertain voice.",False,Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",medium,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
66,Bluffing About Feelings,"didn, couldn, swallowed, glanced, nodded, hadn, giggled, wasn, despite, friend",Abbey struggles to understand and express her feelings while interacting with someone.,False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,medium,False,,,Initial Conflict & Isolation,I,Heroine responds with anger or coldness,medium,False,False,,False,False,False,False,False,False
67,Married Couple's Affectionate Stares,"ravena, aresa, nods, tenses, looks, hurting, walks, wona, marry, stares",The married couple exchanges affectionate stares and smiles across the wedding aisle.,False,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,high,False,,,Turning Point & Recognition,II,Hero treats heroine tenderly,medium,False,False,,False,False,False,False,False,False
68,Percentage-based Assurance,"percent, thousand, ninety, scale, eighty, fourth, century, quarter, grand, seventh","She confidently states, 'one hundred percent.'",False,Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",medium,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
69,Painful Emotional Burden,"hurts, guilt, painful, hurting, experiencing, painkillers, guilty, injury, agony, inflict",She struggles with the emotional pain and guilt that weigh heavily on her heart.,False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,high,False,,,Initial Conflict & Isolation,I,Heroine's social identity is destroyed,high,False,False,,False,False,False,False,False,False
70,Kitten Rescue And Bonding,"kittens, delivery, cata, purr, claws, rescued, hairless, arrogantly, cheshire, lap","She rescued two hairless kittens, cradling them in her lap, their tiny paws kneading her pasty skin as they purr contentedly.",False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",high,False,,,Turning Point & Recognition,II,Heroine responds warmly to hero's tenderness,medium,False,False,,False,False,False,False,False,False
71,Phone Interruption,"pocket, dialed, cellphone, rang, screen, message, hangs, pulls, ringing, buzzed","He pulls his phone from his pocket to check a message, interrupting their conversation.",False,Relationship Trajectory (Main Couple),"Bonding, Everyday Intimacy & Growth",medium,False,,,Turning Point & Recognition,II,Heroine responds warmly to hero's tenderness,low,False,False,,False,False,False,False,False,False
72,Hockey Game Action,"natea, hockey, game, bankers, router, weirdly, corporate, general, famously, teama","The couple watches a hockey game together, cheering for their team.",False,"Spaces, Time, Activities & Objects",Public & Leisure Spaces,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
73,Desolate Emotional Conversation,"simona, karaa, answered, completely, rarity, loved, desolate, special, happiness, emotionally","In a desolate setting, two acquaintances engage in an emotional conversation about their feelings.",False,Relationship Trajectory (Main Couple),"Conflict, Distance & Breakup Threats",medium,False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
74,Confused About Relationship Feelings,"emmetta, britta, fact, grin, smirked, second, snorted, fuckina, laughed, amazed","The couple sits in a stadium, stunned and amazed, trying to understand their complex feelings for each other.",False,"Emotions, Cognition & Inner Life",Ambivalence & Internal Conflict,medium,False,,,Initial Conflict & Isolation,I,Hero responds ambiguously to heroine,low,False,False,,False,False,False,False,False,False
75,Bedroom Encounter,"bed, bedroom, couch, sheets, sofa, covers, pillows, mattress, flop, edge","The couple finds themselves in the bedroom, surrounded by pillows and sheets, as they share an intimate moment.",False,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,high,False,"Spaces, Time, Activities & Objects",Domestic Spaces & Routines,Turning Point & Recognition,II,Hero treats heroine tenderly,low,False,False,,False,False,False,False,False,False
76,Whispered Secrets,"whisper, whispered, murmur, whispers, whata, breathy, shh, contorting, conceited, meek",She whispers secrets to him in the dimly lit bedroom.,False,Relationship Trajectory (Main Couple),"Secrets, Misunderstandings & Hidden Information",high,False,,,Initial Conflict & Isolation,I,Hero and heroine are physically or emotionally separated,medium,False,False,,False,False,False,False,False,False
77,Puzzled Decision Making,"asks, asked, replies, whata, doing, says, answered, demanded, howa, tone","He puzzles over a decision, today's paperwork causing concern.",False,"Emotions, Cognition & Inner Life",Ambivalence & Internal Conflict,medium,False,,,Initial Conflict & Isolation,I,Hero responds ambiguously to heroine,low,False,False,,False,False,False,False,False,False
78,Tender Forehead Kisses,"lucaa, wraps, enzoa, cups, eliciting, gaze, looks, brushing, arm, smiles","The couple, sitting close, shares tender forehead kisses.",False,"Sexuality, Attraction & Intimacy",Kissing & Non-Explicit Affection,high,False,,,Turning Point & Recognition,II,Hero treats heroine tenderly,medium,False,False,,False,False,False,False,False,False
79,Grandmother's Tears,"daisya, rule, replies, grandmother, whispers, says, remya, needs, cries, freezes","The grandmother cries wide-eyed, muttering to herself in the kitchen chairs.",False,Social World Outside Couple,Family & Kinship,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
80,Hockey Player's Lovesick Reminders,"laurena, hockey, mikea, players, natea, agreed, suddenly, reminding, began, goalie","The hockey player, lovesick, recalls reminders of his past with Laurena.",False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,medium,False,,,Initial Conflict & Isolation,I,Heroine's social identity is destroyed,medium,False,False,,False,False,False,False,False,False
81,Family Discussion Around Table,"parents, children, kids, families, familya, aunts, uncles, parentsa, theya, grow","The family sits around the table, discussing their wants and needs.",False,Social World Outside Couple,Family & Kinship,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
82,Frightened Admissions,"scared, afraid, sad, terrifying, scary, scare, scares, frightening, frightened, fears","She admits her fears and insecurities to him in a quiet, intimate setting.",False,"Emotions, Cognition & Inner Life",Negative Emotions & Distress,high,False,,,Initial Conflict & Isolation,I,Heroine's social identity is destroyed,medium,False,False,,False,False,False,False,False,False
83,Animal Farm Visit,"goats, dogs, animal, puppies, animals, sheep, pet, lion, pets, hound","The couple visits a farm filled with goats, dogs, and other animals.",False,"Spaces, Time, Activities & Objects",Public & Leisure Spaces,high,False,,,Not a narrative function,NA,None of the above,high,True,False,,False,False,False,False,False,False
