topic_id,keywords,num_keywords,label,taxonomy_main_id,taxonomy_main_name,taxonomy_main_group,taxonomy_secondary_id,taxonomy_secondary_name,taxonomy_secondary_group,taxonomy_confidence,taxonomy_is_noise,radway_main_id,radway_main_name,radway_secondary_id,radway_phase,radway_phase_name,radway_is_none,radway_confidence,radway_rationale
10,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",27,10_door_doors_opens_opened,8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic revolves around domestic spaces and routines, specifically doors, which are not central to the heroine–hero relationship. It does not primarily realise any of Radway's 13 functions."
11,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",27,11_wine_kitchen_plate_sip,8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on actions in a public space, specifically involving wine, which is not directly related to the heroine–hero relationship or its narrative arc. It does not primarily realise any of Radway's 13 functions."
12,"kisses, kissed, tongue, mouth, cheek, neck, leans, lip, licks, soft",27,12_kisses_kissed_tongue_mouth,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around kissing, a tender and affectionate act that often signals a shift in the hero's behavior towards the heroine. This typically occurs in Phase II of Radway's functions, where the hero treats the heroine tenderly, indicating a turning point in their relationship."
13,"smiled, smile, smiles, laugh, laughs, laughed, grinned, grin, eyebrows, giggles",27,13_smiled_smile_smiles_laugh,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,R9,II,Turning Point & Recognition,False,high,"The topic's keywords and representative snippets focus on smiling, a non-verbal expression of affection and joy, which is a tender gesture from the hero and a warm response from the heroine. This aligns with Radway's functions R8 (Hero treats heroine tenderly) and R9 (Heroine responds warmly to hero's tenderness)."
14,"smile, smiles, grin, smiled, laugh, grinned, grins, laughed, laughs, smirked",27,14_smile_smiles_grin_smiled,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,high,"The topic's representative snippets all depict the heroine smiling at the hero, indicating a warm response to him. This aligns with Radway's function R9, which describes the heroine responding warmly to the hero's tenderness."
15,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, pulls",27,15_clit_hips_pussy_legs,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic keywords and representative snippets explicitly describe sexual acts, including clitoral stimulation, which is a clear indicator of R12. The main taxonomy ID of 2.3 further supports this, as it falls under 'Explicit Sexual Acts'."
16,"fathera, parents, died, dada, older, fathers, children, kids, grandson, hea",27,16_fathera_parents_died_dada,5.1,Family & Kinship,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on the hero's family and past, not the heroine–hero relationship, so it does not primarily realise any of Radway's 13 functions."
17,", , , , , , , , , ",27,17____,,,,,,,,False,,,,NA,,False,,
18,", , , , , , , , , ",27,18____,,,,,,,,False,,,,NA,,False,,
19,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, beating",27,19_stomach_chest_blood_veins,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main category of 'Explicit Sexual Acts' directly corresponds to Radway's function R12, which involves explicit sexual and emotional union between the hero and heroine. The representative snippets, such as 'my stomach feels like it's carrying a cannonball' and 'my heart hammers in my chest', suggest a strong emotional response accompanying the sexual act, further supporting R12."
20,"gaze, stare, staring, looks, stares, look, stared, glares, glances, looked",27,20_gaze_stare_staring_looks,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,,I,Initial Conflict & Isolation,False,medium,"The topic keywords and representative snippets ('meet his gaze', 'he met my gaze', 'gaze on my face') suggest a focus on eye contact and mutual attention, which is a common indicator of early attraction and sexual tension between the hero and heroine. This aligns with Radway's function R4, where the heroine interprets the hero's behavior as purely sexual interest."
21,"car, driver, limo, parked, parking, cars, driveway, suv, curb, cab",27,21_car_driver_limo_parked,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic revolves around affectionate moments in a car, suggesting tenderness and care, which aligns with R8. However, the lack of explicit context or keywords makes the fit less certain."
22,"didna, couldna, wasna, hadna, wouldna, control, fucked, want, expecting, anymore",27,22_didna_couldna_wasna_hadna,3.3,Ambivalence & Internal Conflict,"Emotions, Cognition & Inner Life",,,,high,False,R5,Heroine responds with anger or coldness,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's internal conflict and resistance, which is often expressed through coldness or emotional withdrawal (R5). The topic keywords and snippets ('didnat care', 'didnat like it') suggest a guarded, defensive response, fitting Phase I of the romance arc."
23,"reesea, merinaa, gwynetha, taga, board, hadna, gave, told, cadea, wasna",27,23_reesea_merinaa_gwynetha_taga,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic's main category 'Bonding, Everyday Intimacy & Growth' and the representative snippets showing casual, familiar interaction ('here we are again', 'tag', 'her') suggest a tender, intimate moment between the characters, fitting Radway's function R8 (Hero treats heroine tenderly)."
24,"rings, buzzes, pocket, rang, screen, cellphone, nightstand, ringing, message, purse",27,24_rings_buzzes_pocket_rang,8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic is about a phone buzzing, which is a background context and not directly related to the heroine–hero relationship. It does not correspond to any of Radway's 13 functions."
25,"smile, laugh, laughter, grin, smiled, grinned, burst, laughed, chuckled, force",27,25_smile_laugh_laughter_grin,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"The topic's keywords and snippets suggest a warm response from the heroine, which is characteristic of Phase II in Radway's functions. However, the lack of explicit context makes the confidence level low."
26,"tonight, night, evening, nights, stand, saturday, happened, tonighta, nighttime, nighta",27,26_tonight_night_evening_nights,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.4,"Time, Seasons & Temporal Framing","Spaces, Time, Activities & Objects",high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's keywords and snippets suggest a tender, intimate moment between the couple, hinting at a turning point in their relationship (R8). However, the lack of explicit context makes this interpretation tentative."
27,"door, doors, opened, car, stairs, shut, stepped, purse, headed, walked",27,27_door_doors_opened_car,8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic focuses on mundane actions and objects, not the heroine–hero relationship. It lacks keywords, labels, or summaries related to romance or conflict, and its taxonomy group is 'Domestic Spaces & Routines', which is not central to the heroine–hero arc."
28,"dona, want, say, need, think, talk, really, anymore, anybody, flatter",27,28_dona_want_say_need,4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('i donat care.', 'i donat know why.', 'oh, no, you donat.') suggest a lack of interest, indifference, or even resistance, which could indicate a separation or breakup threat in the relationship. The main taxonomy category 'Conflict, Distance & Breakup Threats' further supports this interpretation."
29,"minutes, weeks, months, days, week, hours, years, month, seconds, hour",27,29_minutes_weeks_months_days,3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic lacks keywords, labels, or summaries related to the heroine–hero relationship, and it's not categorized under romance_core or relationship dynamics. It only discusses time duration, which is not a narrative function in Radway's taxonomy."
30,"game, hockey, puck, players, games, play, player, teams, goalie, goal",27,30_game_hockey_puck_players,8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on a 'game' context, which is not directly related to the heroine–hero relationship or their emotional journey. The Stage 2 taxonomy group 'Public & Leisure Spaces' further confirms this topic's background nature."
31,"wea, wear, clothes, outfit, wearing, going, wardrobe, worn, clothing, doing",27,31_wea_wear_clothes_outfit,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",medium,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around the idea of being together, which suggests a tender and caring relationship. The use of 'we' and 'together' implies a closeness and intimacy that is characteristic of Radway's function R8 - Hero treats heroine tenderly."
32,"firmly, offense, answered, youa, say, flatly, problem, replied, saying, wona",27,32_firmly_offense_answered_youa,4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),,,,high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,high,"The topic revolves around arguments and resistance from the heroine, which is characteristic of Radway's R2 function. The snippets show the heroine pushing back against the hero with obstinacy and refusal to listen, aligning with the antagonistic response described in R2."
33,"business, company, dollars, pay, job, million, thousand, paid, investment, cost",27,33_business_company_dollars_pay,6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on the hero's business world, which is not directly related to the heroine–hero relationship. It does not primarily realise any of Radway's 13 functions."
34,"huntera, cards, california, glanced, archery, turned, chips, shoulder, gritted, threw",27,34_huntera_cards_california_glanced,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"Heuristic fallback: original classification was 'none', but taxonomy and primary_categories indicate a romance-core topic in group 'Relationship Trajectory (Main Couple)'. Reassigned to R9 (Heroine responds warmly to hero's tenderness)."
35,"silent, fell, remained, beat, stays, descends, awkward, stretched, stretches, moment",27,35_silent_fell_remained_beat,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R5,Heroine responds with anger or coldness,,I,Initial Conflict & Isolation,False,low,"The topic's keywords and snippets suggest a heroine who is silent or withdrawn, which could indicate emotional withdrawal or coldness towards the hero, fitting R5. However, the lack of explicit context makes this a low confidence match."
36,"knees, feet, fists, arms, foot, fold, shuffle, fist, shoe, sides",27,36_knees_feet_fists_arms,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic's focus on kissing and non-explicit affection suggests a tender moment between the hero and heroine, fitting Radway's function R8 (Hero treats heroine tenderly). The lack of explicit sexual content and the non-existence of keywords or previous labels/summaries make other functions less likely."
37,"ridiculous, insane, bullshit, fool, dumbass, outrageous, assholes, insanity, idiots, stupidest",27,37_ridiculous_insane_bullshit_fool,4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('ridiculous', 'how fucking great is that? fucking ridiculous') suggest a negative, dismissive, or sarcastic attitude, which could indicate a breakup or separation (R7). The main taxonomy category 'Conflict, Distance & Breakup Threats' also supports this interpretation."
38,"looks, gaze, stares, glare, stare, look, glances, looked, glanced, staring",27,38_looks_gaze_stares_glare,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets focus on eye contact and gazing between the hero and heroine, indicating sexual tension and attraction. This is before any commitment or union scene, so it fits Radway's function R4 - Heroine interprets hero's behaviour as purely sexual interest."
39,"lip, bite, teeth, nose, tongue, mouth, bridge, grit, lick, chew",27,39_lip_bite_teeth_nose,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,medium,"The topic revolves around the heroine's physical expression of affection or nervousness through biting her lip, which is a non-explicit display of emotion. This action often occurs in response to the hero's actions or words, indicating tenderness or attraction, thus fitting Radway's function R8 (Hero treats heroine tenderly)."
40,"loves, doesna, needs, says, miaa, wants, left, likes, lot, job",27,40_loves_doesna_needs_says,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,medium,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,low,"The topic revolves around the heroine expressing love for the hero, which could be interpreted as antagonistic behavior in the initial stages of the romance, as she may be pushing back against his advances or expressing her feelings despite his initial coldness or ambiguity."
41,"ia, used, going, complaining, anymore, ready, heartless, ashamed, wrong, doing",27,41_ia_used_going_complaining,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,R2,Heroine reacts antagonistically to the hero,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and representative snippets ('twerps', 'confused', 'not as long as I'm here') suggest a heroine reacting antagonistically to the hero, fitting R2. The negative emotions and distress taxonomy group further supports this, as it often indicates conflict or resistance in the heroine–hero relationship."
42,"sexual, intimate, virginity, intimacy, having, sexually, blowing, sexa, sexuality, just",27,42_sexual_intimate_virginity_intimacy,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",,,,high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main category 'Explicit Sexual Acts' directly corresponds to Radway's R12, as it describes sexual acts and foreplay, combining erotic fulfilment and emotional acceptance."
43,"ia, going, working, ready, doing, supposed, aware, prepared, oversee, trying",27,43_ia_going_working_ready,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,medium,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's main category 'Bonding, Everyday Intimacy & Growth' suggests a moment of tenderness or support, fitting R8. However, without keywords or a scene summary, confidence is low."
44,"mothera, moma, stepmother, died, mamaa, moms, motherhood, telling, tell, traumatizing",27,44_mothera_moma_stepmother_died,5.1,Family & Kinship,Social World Outside Couple,4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),high,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around the heroine's mother, creating conflict and distance in the relationship. This is a common narrative function in Phase I, where the heroine and hero are separated or threatened by external factors."
45,"want, need, wanted, needed, thata, exactly, isna, wanting, tell, just",27,45_want_need_wanted_needed,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,medium,False,R4,Heroine interprets hero's behaviour as purely sexual interest,,I,Initial Conflict & Isolation,False,low,"The topic's keywords ('want', 'want me') suggest the heroine's perception of the hero's interest, which is likely interpreted as purely sexual before any commitment, fitting R4."
46,"didn, hardya, wasn, murmured, looked, pickup, wondered, couldn, heard, gave",27,46_didn_hardya_wasn_murmured,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,,I,Initial Conflict & Isolation,False,medium,"The topic's keywords and snippets focus on the heroine's thoughts about the hero (Hardy), suggesting she's interpreting his behavior primarily through a sexual or romantic lens, which aligns with R4 (Heroine interprets hero's behavior as purely sexual interest). The lack of explicit sexual acts or commitment discussions rules out R12 or R11. The topic's placement in the 'Attraction & Sexual Tension' category further supports this interpretation."
47,"hair, makeup, mascara, lipstick, drag, nape, hairs, rises, bun, strand",27,47_hair_makeup_mascara_lipstick,2.2,Kissing & Non-Explicit Affection,"Sexuality, Attraction & Intimacy",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's focus on kissing and non-explicit affection suggests a tender moment between the hero and heroine, which is characteristic of Radway's function R8. However, the lack of explicit context or keywords makes the fit less certain."
48,"breath, lungs, deep, exhale, inhale, breathing, exhaled, breaths, heavily, air",27,48_breath_lungs_deep_exhale,3.1,Positive Emotions & Security,"Emotions, Cognition & Inner Life",,,,high,False,R8,Hero treats heroine tenderly,,II,Turning Point & Recognition,False,low,"The topic's keywords and representative snippets ('i've got my breath back.', 'they take my breath away.') suggest a moment of relief, recovery, or strong emotional response, which aligns with R8 (Hero treats heroine tenderly). However, the lack of explicit context makes this a low confidence match."
49,"babysitter, babya, born, babysit, healthy, having, want, infant, raise, youa",27,49_babysitter_babya_born_babysit,5.2,Friends & Social Circles,Social World Outside Couple,,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets indicate that this topic is about finding a babysitter, which is a practical task related to the heroine's daily life but not directly tied to her relationship with the hero. It does not primarily realise any of Radway's 13 functions in the heroine–hero romance arc."
50,"didna, didn, wasna, wouldna, couldna, hadna, wasn, couldn, idea, hadn",27,50_didna_didn_wasna_wouldna,4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic's main category 'Conflict, Distance & Breakup Threats' and the representative snippets ('he didnât', 'one he didnât have', 'he didnât get hard') suggest a physical or emotional separation between the hero and heroine, fitting Radway's function R7."
51,"maddiea, sama, karaa, clinic, answered, didn, tremulous, couldn, friend, sighed",27,51_maddiea_sama_karaa_clinic,5.2,Friends & Social Circles,Social World Outside Couple,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and snippets do not relate to the heroine–hero relationship, focusing instead on the heroine's interactions with her friend Maddie and her own internal thoughts. The Stage 2 taxonomy groups it under 'Friends & Social Circles' and 'Negative Emotions & Distress', further emphasizing its peripheral role in the romance narrative."
52,"sama, www, didn, event, mocking, muttered, answered, masculine, shattering, unethical",27,52_sama_www_didn_event,4.3,"Secrets, Misunderstandings & Hidden Information",Relationship Trajectory (Main Couple),3.3,Ambivalence & Internal Conflict,"Emotions, Cognition & Inner Life",medium,False,R3,Hero responds ambiguously to heroine,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around secrets and hidden information, which often leads to misunderstandings and ambiguous behaviour from the hero. This ambiguity can create confusion and tension in the heroine, fitting Radway's function R3 (Hero responds ambiguously to heroine)."
53,"dress, dresses, panties, skirt, lace, heels, gown, wearing, wear, stilettos",27,53_dress_dresses_panties_skirt,4.2,"Bonding, Everyday Intimacy & Growth",Relationship Trajectory (Main Couple),,,,high,False,R9,Heroine responds warmly to hero's tenderness,,II,Turning Point & Recognition,False,low,"Heuristic fallback: original classification was 'none', but taxonomy and primary_categories indicate a romance-core topic in group 'Relationship Trajectory (Main Couple)'. Reassigned to R9 (Heroine responds warmly to hero's tenderness)."
54,"rang, dialed, message, texted, screen, picked, pocket, texting, checked, rings",27,54_rang_dialed_message_texted,8.2,Public & Leisure Spaces,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets indicate that this topic is about phone calls, which is a background context and not directly related to the heroine–hero relationship. It does not belong to the 'Relationship Trajectory (Main Couple)' or 'Sexuality, Attraction & Intimacy' taxonomy groups, and it does not involve any emotional, sexual, or conflict-related content between the heroine and the hero."
55,"wants, want, knows, needs, need, hera, needed, teach, ita, likes",27,55_wants_want_knows_needs,2.3,Explicit Sexual Acts,"Sexuality, Attraction & Intimacy",8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",high,False,R12,Heroine responds sexually and emotionally,,III,Commitment & Restoration,False,high,"The topic's main category, 'Explicit Sexual Acts', directly corresponds to Radway's function R12, which involves explicit sexual and emotional union between the hero and heroine. The representative snippets also suggest a focus on the heroine's desires and the hero's willingness to fulfill them, which is a common theme in union scenes."
56,"sleep, asleep, slept, nap, hours, wake, night, woke, nighta, fall",27,56_sleep_asleep_slept_nap,3.2,Negative Emotions & Distress,"Emotions, Cognition & Inner Life",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic lacks keywords, label, or scene summary, and it's not categorized under romance_core or any main couple relationship trajectory. It's about sleep, which is a background context, not a central part of the heroine–hero relationship arc."
57,"shower, bathroom, bath, tub, toilet, bathtub, showers, restroom, showering, showered",27,57_shower_bathroom_bath_tub,8.1,Domestic Spaces & Routines,"Spaces, Time, Activities & Objects",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic is about daily routines and activities, specifically showering, which is not a narrative function in the heroine–hero romance arc."
58,"look, youa, stunning, seen, attractive, sweeter, breathtakingly, absolutely, utterly, looks",27,58_look_youa_stunning_seen,2.1,Attraction & Sexual Tension,"Sexuality, Attraction & Intimacy",,,,high,False,R4,Heroine interprets hero's behaviour as purely sexual interest,,I,Initial Conflict & Isolation,False,high,"The topic's keywords and representative snippets ('you look good', 'you look beautiful', 'you'll look hot') indicate early attraction and flirtation, which is typical of Phase I in the romance arc. The heroine interprets the hero's behaviour as purely sexual interest, fitting Radway's function R4."
59,"tristana, smiles, replies, broadly, laughs, puts, glares, mutters, harrya, asks",27,59_tristana_smiles_replies_broadly,4.4,"Conflict, Distance & Breakup Threats",Relationship Trajectory (Main Couple),,,,medium,False,R7,Hero and heroine are physically or emotionally separated,,I,Initial Conflict & Isolation,False,medium,"The topic revolves around conflict and distance, with the heroine worrying about whether to speak up and the heroine's eyes avoiding the hero's. This suggests a separation or breakup threat, fitting R7."
60,"bossa, ceos, employee, bosses, board, company, manager, job, hea, youa",27,60_bossa_ceos_employee_bosses,6.1,Hero's Elite Work & Business World,"Work, Wealth, Status & Institutions",,,,high,False,none,None of the above,,NA,Not a narrative function,True,high,"The topic keywords and representative snippets focus on work hierarchy and professional relationships, not the heroine–hero romance arc. The Stage 2 taxonomy confirms this, placing the topic under 'Hero's Elite Work & Business World'."
