label,topic_id,trash_median,trash_mean,top_median,cliffs_top_trash,prevalence,mass,keywords,label_is_noise
Reunion After Argument,341,0.0040892029629330875,0.00443847129982152,0.003945719006713422,-0.2,1.0,0.004404352320896005,"leaving, mirandaa, disrespectful, hadna, replacement, coolly, reunion, bogged, realizations, supplication",False
Knocking On Door,10,0.0040651765275327885,0.004813392181969781,0.005003179770471362,0.24444444444444444,1.0,0.005003249690977375,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",False
Firm Rejections,345,0.004054837846501422,0.004059988519904743,0.0040283436587531495,-0.024444444444444446,1.0,0.004130000513821653,"dona, coy, daft, tramp, start, naa, pffft, dreamsa, downplay, maserati",False
Relaxing Moment,360,0.003992625413969497,0.0038941610652096495,0.00430091518484767,0.21555555555555556,0.9782608695652174,0.004140970575311279,"relax, rest, relaxing, relaxed, enjoy, relaxation, relaxes, abysmally, averse, awash",False
Whispered Love Confessions,96,0.0039165208357601995,0.0037146024842079047,0.002780245678054928,-0.23555555555555555,0.967391304347826,0.003418572485731168,"whispers, whispered, whisper, softly, breaking, ear, plea, murmured, soft, someday",False
Belief Discussion,249,0.003832167381566343,0.0038688718784412528,0.003992340326843376,0.12222222222222222,1.0,0.004010822034963681,"believe, admit, cana, expect, macka, validity, scotcha, ehh, prophecy, laminate",False
Protective Conversations By Firelight,250,0.0036287712051225546,0.004969589082062164,0.0023704001033793935,-0.3622222222222222,0.9782608695652174,0.003957859495746798,"loved, loves, adored, clearly, humbled, protector, cared, soul, madly, conversations",False
Schoolyard Argument,264,0.0035996925986873244,0.0038155122043964412,0.004169925415136437,0.27111111111111114,1.0,0.004376835507351102,"lilliea, rubya, daughtera, holds, daughter, squeeze, starts, dumpling, eleanora, school",False
Bedroom Intimacy,171,0.0035712484299867337,0.0040892555164086545,0.004024152836400272,0.2,1.0,0.0040379407451686085,"bed, mattress, bedroom, edge, sits, carries, covers, pushes, pillow, crawls",False
Threatening Affair Disclosure,333,0.00354029492133292,0.0036054993741420002,0.003472366130990478,-0.11555555555555555,1.0,0.00367593715528049,"marca, weapons, compare, threats, sworn, cubicle, hadn, york, affair, conscious",False
Reluctant Relationship Choices,114,0.003530909643032335,0.0037993107568513335,0.003721655526286701,0.06888888888888889,1.0,0.004105498669901882,"taga, asked, drewa, wasna, replied, enthralled, hadna, kadea, choices, deter",False
Dinner Invitation,3,0.003524620944689882,0.0036687636198207045,0.0036385099298765593,0.12,0.9891304347826086,0.004267044821107908,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",False
Breast And Nipple Foreplay,162,0.00339626251719623,0.0032360913234499994,0.0027570866148854036,-0.18444444444444444,0.9456521739130435,0.0029830820729170437,"skirt, dress, breasts, nipples, curves, fabric, wore, panties, lace, blouse",False
Exiting Through Doorways,27,0.0033924878247967643,0.0034238951338218843,0.002323373366033391,-0.32,0.9891304347826086,0.002992231612481741,"door, doors, opened, car, stairs, shut, stepped, purse, headed, walked",False
Sisters Reflecting On Childhood,350,0.0033427482706425895,0.0035654462211838086,0.0040900577350829245,0.24444444444444444,1.0,0.0038157147695354,"didn, wasn, won, sell, childhood, months, guarded, defensive, sister, problemsa",False
Emotional Panic Attack,160,0.003287167946213989,0.0035016313212429336,0.002181172631003923,-0.2777777777777778,0.9347826086956522,0.0029613505041766307,"gasped, tears, panic, cheeks, stomach, tear, hips, winced, wiped, belly",False
Evening Boat Ride,220,0.0031197447913192252,0.003439647535331272,0.0027210645231143483,-0.21333333333333335,0.9782608695652174,0.004141759825774088,"margota, eddiea, couldn, didn, wasn, blinked, moment, raised, boat, inspiration",False
Stubble And Tousled Hair,312,0.003046925198693817,0.004155498569204023,0.0040798362371461585,0.21777777777777776,0.9891304347826086,0.004081899293324245,"hair, stubble, shaved, forehead, tousled, shaven, shave, mussed, scruff, shadow",False
Yearlong Relationship Reflection,311,0.002952633004928492,0.003054228958651681,0.0032900108240981538,0.16,1.0,0.0031371169910369024,"wea, shared, downs, cycle, yearlong, created, worked, years, squared, accidentally",False
Mid-flight Makeout,125,0.002888268418659774,0.002967413255448776,0.00301524041665119,0.16444444444444445,1.0,0.0030356931053252727,"flight, plane, jet, airport, helicopter, pilot, runway, flying, fly, jfk",False
Admiring Intelligence,233,0.0028342916095474256,0.002873647747125063,0.001951163379065187,-0.2777777777777778,0.9456521739130435,0.0025190927561141844,"loved, liked, adored, attractive, proud, intelligent, looked, excellent, pieces, stunning",False
Desperate Harem Offer,208,0.002805389199871668,0.0030457200550368605,0.0027802212582866796,-0.07555555555555556,1.0,0.00289177017002424,"wants, wanted, want, badly, astonishingly, desperate, bluest, harem, alwaysa, empowering",False
Hair Play During Intimacy,211,0.002774211717005426,0.0026668507094850997,0.002098295548918245,-0.2088888888888889,0.9239130434782609,0.002459684985636638,"hair, blonde, waves, shoulders, bun, strands, fell, swept, breeze, braid",False
Shower Hygiene,57,0.002737416368613525,0.00307267884217405,0.002755823073118863,0.14666666666666667,0.9945652173913043,0.0032469110861432795,"shower, bathroom, bath, tub, toilet, bathtub, showers, restroom, showering, showered",False
Apology And Forgiveness,61,0.0027320672524492233,0.0025447826358260556,0.002599380803907886,-0.0044444444444444444,0.9347826086956522,0.002788108446993446,"apologize, forgive, sorry, apology, apologized, apologizing, forgiveness, forgiven, apologies, profusely",False
Privacy Concerns Conversation,367,0.0027214121288223433,0.0029593334247715827,0.002934621449875046,0.14444444444444443,1.0,0.0029083068394477256,"privacy, safer, protected, protect, invasion, protection, safety, safea, duty, secure",False
Moral Dilemma Discussion,314,0.002711600520364851,0.002598805920195769,0.0026253570815730227,0.02666666666666667,1.0,0.0026053414151168395,"thing, proves, exactly, thinga, telegraphing, humane, accurately, percent, accept, winner",False
Scent-induced Intimacy,317,0.0026136300759999585,0.0025232047369205743,0.0021951503899734024,-0.2111111111111111,0.9130434782608695,0.0023232021079623156,"scent, smelled, smell, perfume, nostrils, shampoo, smells, coconut, lavender, flowers",False
